[ACIP input codes]
[* ]*
[STRA ]STRA
[STVA ]STVA
[STYA ]STYA
[STZA ]STZA
[SV'A ]SV'A
[SVA ]SVA
[SYA ]SYA
[tA ]tA
[t'A ]t'A
[thA ]thA
[thRA ]thRA
[thYA ]thYA
[tKA ]tKA
[ttA ]ttA
[tVA ]tVA
[TA ]TA
[T'A ]T'A
[T+SA ]T+SA
[THA ]THA
[THRA ]THRA
[THYA ]THYA
[TKA ]TKA
[TMA ]TMA
[TMYA ]TMYA
[TNA ]TNA
[TPA ]TPA
[TP'A ]TP'A
[TPHA ]TPHA
[TRA ]TRA
[TRYA ]TRYA
[TSA ]TSA
[TSVA ]TSVA
[TTA ]TTA
[TTHA ]TTHA
[TTRA ]TTRA
[TTVA ]TTVA
[TTYA ]TTYA
[TVA ]TVA
[TY'A ]TY'A
[TYA ]TYA
[TZA ]TZA
[TZ'A ]TZ'A
[TZTSA ]TZTSA
[TZTZA ]TZTZA
[TZVA ]TZVA
[WA ]WA
[W'A ]W'A
[YA ]YA
[Y'A ]Y'A
[YSA ]YSA
[ZA ]ZA
[ZHA ]ZHA
[ZHVA ]ZHVA
[ZLA ]ZLA
[ZVA ]ZVA
[ADDITIONAL CODES SUPPORTED BY SAMBHOTA]
[DGHRA ]DGHRA
[GBA ]GBA
[GBYA ]GBYA
[GnA ]GnA
[HPHA ]HPHA
[HMYA ]HMYA
[KTZA ]KTZA
[KDZNYA ]KDZNYA
[KHLA ]KHLA
[NGSHA ]NGSHA
[NGSA ]NGSA
[NdA ]NdA
[PDA ]PDA
[PHYVA ]PHYVA
[PPHA]PPHA
[RBBA ]RBBA
[RBPA ]RBPA
[RBTA ]RBTA
[RDZNYA ]RDZNYA
[RGVA ]RGVA
[RKTA ]RKTA
[RTHYA ]RTHYA
[RTTA ]RTTA
[SBHA ]SBHA
[SNRA ]SNRA
[STRYA ]STRYA
[TBHA ]TBHA
[TGA ]TGA
[THLHA ]THLHA
[TSVA ]TSVA
[TZTZA ]TZTZA
[TZVA ]TZVA
[WRA ]WRA
[WYA ]WYA
[dBHA ]dBHA
[dHA ]dHA
[dMA ]dMA
[ddHA ]ddHA
[shTHA ]shTHA
[shTZA ]shTZA
[shLA ]shLA
[tBHA ]tBHA
[tGA ]tGA
[tMA ]tMA
[tNA ]tNA
[tPA ]tPA
[tPHA ]tPHA
[tshA ]tshA
