59571	(yid kyi) yongs su (b)rtog pa	10.0	odd6;mixed15
59249	(yang dag par) rjes su mthong ('thong) ngo	10.0	odd6;mixed17
59239	(yang dag par) rgyu (ba)	10.0	odd6;mixed13
58838	mthu yod pa 'am nus pa 'am dpyad (spyad) ~~ (gzod pa)	10.0	odd8;mixed17
56438	srog chags ko ka 'am (tsam mi ? mtsha ?)	10.0	odd6;mixed8
55570	tshad med pa la(s) bsgres pa ('gres pa)	10.0	odd6;mixed14
53808	~~gyi zhal ta pa (rta pa)	10.0	odd6;mixed12
53647	~~ra ngal skyan pa (skyen po)	10.0	odd6;mixed13
53575	(gyen du) ~~	10.0	odd6;mixed10
53270	gang tshul bzhin (tshul shing) mang po ~~	10.0	odd6;mixed14
52721	lag pas zas dang ~~sa (sbags pas) chu snod la mi bzung	10.0	odd6;mixed14
52591	~~khyad (par) 'phags (che)	10.0	odd6;mixed17
52436	~~che ba'i skye mched (che ba'i gnas)	10.0	odd6;mixed14
52404	~~rnams ni (dbang po thams cad) yongs su tshang bar gyur	10.0	odd6;mixed17
51396	(be Du rya	10.0	odd6;mixed12
49859	~~(ra) 'di la ni thams cad sbyin par [mi	10.0	odd6;mixed12
49375	mthu yod pa 'aM nus pa 'aM dpyad (spyad) bzod pa (gzod pa)	10.0	odd6;mixed15
48467	mchi mas ~~'khod do ('dug go)	10.0	odd6;mixed15
48289	mi'i rigs ~~ (kyi ming) la	10.0	odd6;mixed11
48084	~~'i (phung po so sor phye ba'i) ming la	10.0	odd6;mixed15
48012	(las kyi) ~~la rton pa	10.0	odd6;mixed12
48004	rnam par dmigs pa(r) (byed pa)	10.0	odd6;mixed13
46779	nags sdug po (chen po) bcu gnyis (po)	10.0	odd6;mixed12
46467	nags ~~(chen po) bcu gnyis (po)	10.0	odd6;mixed14
46395	sdug bsngal gyi(s) tshor bas [gzir ba	10.0	odd6;mixed14
46080	dpyal lugs ~~ (dpyal	10.0	odd6;mixed14
45455	'dul ba(r) (bya ba)	10.0	odd6;mixed12
45353	~~las yang dag par (skyo bar mi 'gyur)	10.0	odd6;mixed16
43438	~~(sku) la ngan sems kyis khrag 'byin pa (phyung ba)	10.0	odd6;mixed17
43422	~~la ngan sems kyis khrag 'byin pa (phyung ba)	10.0	odd6;mixed14
