!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
'bras bu gsum	འབྲས་བུ་གསུམ
'bras bu la rgyu btags pa	འབྲས་བུ་ལ་རྒྱུ་བཏགས་པ
'bras bu la zhugs pa	འབྲས་བུ་ལ་ཞུགས་པ
'bras bu lnga bstan pa	འབྲས་བུ་ལྔ་བསྟན་པ
'bras bu lo ma	འབྲས་བུ་ལོ་མ
'bras bu ltar 'tsho bar	འབྲས་བུ་ལྟར་འཚོ་བར
'bras bu me tog	འབྲས་བུ་མེ་ཏོག
'bras bu med pa	འབྲས་བུ་མེད་པ
'bras bu med par byas	འབྲས་བུ་མེད་པར་བྱས
'bras bu med smra	འབྲས་བུ་མེད་སྨྲ
'bras bu mi gsal	འབྲས་བུ་མི་གསལ
'bras bu mnyam	འབྲས་བུ་མཉམ
'bras bu phun sum tshogs pa	འབྲས་བུ་ཕུན་སུམ་ཚོགས་པ
'bras bu phun tshogs	འབྲས་བུ་ཕུན་ཚོགས
'bras bu rnam par smin pa	འབྲས་བུ་རྣམ་པར་སྨིན་པ
'bras bu skye ba'i snyoms 'jug	འབྲས་བུ་སྐྱེ་བའི་སྙོམས་འཇུག
'bras bu snga na yod pa	འབྲས་བུ་སྔ་ན་ཡོད་པ
'bras bu thob pa'i khyad par	འབྲས་བུ་ཐོབ་པའི་ཁྱད་པར
'bras bu yod par	འབྲས་བུ་ཡོད་པར
'bras bu yod par 'gyur	འབྲས་བུ་ཡོད་པར་འགྱུར
'bras bu'i dpal	འབྲས་བུའི་དཔལ
'bras bu'i mtha'	འབྲས་བུའི་མཐའ
'bras bu'i ngo mtshar che ba	འབྲས་བུའི་ངོ་མཚར་ཆེ་བ
'bras bu'i rmongs pa	འབྲས་བུའི་རྨོངས་པ
'bras bu'i skyes	འབྲས་བུའི་སྐྱེས
'bras bu'i theg pa	འབྲས་བུའི་ཐེག་པ
'bras bur bcas	འབྲས་བུར་བཅས
'bras bur bcas pa	འབྲས་བུར་བཅས་པ
'bras byung ras	འབྲས་བྱུང་རས
'bras bzang	འབྲས་བཟང
'bras chad kyi tshod ma	འབྲས་ཆད་ཀྱི་ཚོད་མ
'bras chan	འབྲས་ཆན
'bras chan gyi gzegs ma	འབྲས་ཆན་གྱི་གཟེགས་མ
'bras dang bcas	འབྲས་དང་བཅས
'bras dkar	འབྲས་དཀར
'bras dus kyi snying rje	འབྲས་དུས་ཀྱི་སྙིང་རྗེ
'bras gang	འབྲས་གང
'bras gsum	འབྲས་གསུམ
'bras khang 'bras gang	འབྲས་ཁང་འབྲས་གང
'bras kyi phung	འབྲས་ཀྱི་ཕུང
'bras ldan	འབྲས་ལྡན
'bras med byas pa	འབྲས་མེད་བྱས་པ
'bras med mdzad	འབྲས་མེད་མཛད
'bras med nyams shing	འབྲས་མེད་ཉམས་ཤིང
'bras nag	འབྲས་ནག
'bras rnying chang	འབྲས་རྙིང་ཆང
'bras sha	འབྲས་ཤ
'bras smin mthar 'jig pa	འབྲས་སྨིན་མཐར་འཇིག་པ
