!! zhugs nyid	⟨!!⟩་ཞུགས་ཉིད
!!don du	⟨!!don⟩་དུ
!!lcags sgrog ma	⟨!!lcags⟩་སྒྲོག་མ
!!mdog dbyibs can	⟨!!mdog⟩་དབྱིབས་ཅན
!!mid par byed pa	⟨!!mid⟩་པར་བྱེད་པ
!!ming can	⟨!!ming⟩་ཅན
!!mtshon cha can	⟨!!mtshon⟩་ཆ་ཅན
!!ra bcas	⟨!!ra⟩་བཅས
!!rnam pa can	⟨!!rnam⟩་པ་ཅན
!!snod du gyur	⟨!!snod⟩་དུ་གྱུར
!!theg pa pa	⟨!!theg⟩་པ་པ
'am ci	འམ་ཅི
byon cig	བྱོན་ཅིག
byon pa	བྱོན་པ
byon par gyur	བྱོན་པར་གྱུར
byu ru'i 'khri shing	བྱུ་རུའི་འཁྲི་ཤིང
byu ru'i 'od ldan	བྱུ་རུའི་འོད་ལྡན
byug mkhan	བྱུག་མཁན
byug pa mdzad	བྱུག་པ་མཛད
byug par bya	བྱུག་པར་བྱ
byugs	བྱུགས
byugs pa byas	བྱུགས་པ་བྱས
byugs shing	བྱུགས་ཤིང
byugs spos	བྱུགས་སྤོས
byung 'byung ba	བྱུང་འབྱུང་བ
byung ba 'di la	བྱུང་བ་འདི་ལ
byung ba bsngags pa	བྱུང་བ་བསྔགས་པ
byung ba chen po	བྱུང་བ་ཆེན་པོ
byung ba las byung zhing ma byung ba las byung zhing	བྱུང་བ་ལས་བྱུང་ཞིང་མ་བྱུང་བ་ལས་བྱུང་ཞིང
byung ba min	བྱུང་བ་མིན
byung ba'i tshul	བྱུང་བའི་ཚུལ
byung bar gyur kyang	བྱུང་བར་གྱུར་ཀྱང
byung bar gyur pa	བྱུང་བར་གྱུར་པ
byung bar gyur te	བྱུང་བར་གྱུར་ཏེ
byung bas na	བྱུང་བས་ན
byung dka' ba	བྱུང་དཀའ་བ
byung mtha'	བྱུང་མཐའ
byung nas	བྱུང་ནས
byung nas gnas pa	བྱུང་ནས་གནས་པ
byung ste	བྱུང་སྟེ
byung tshul bzhin	བྱུང་ཚུལ་བཞིན
byung zhig	བྱུང་ཞིག
byungs te	བྱུངས་ཏེ
byur bu	བྱུར་བུ
byur bur gyur ba	བྱུར་བུར་གྱུར་བ
byur lba	བྱུར་ལྦ
byus legs	བྱུས་ལེགས
bza'	བཟའ
bza' ba dang bca ba dang btung ba zhim zhing	བཟའ་བ་དང་བཅ་བ་དང་བཏུང་བ་ཞིམ་ཞིང
bza' ba dang btung ba	བཟའ་བ་དང་བཏུང་བ
bza' ba dang btung ba dang bca' ba	བཟའ་བ་དང་བཏུང་བ་དང་བཅའ་བ
bza' ba'i phyir	བཟའ་བའི་ཕྱིར
bza' bar mi bya yi	བཟའ་བར་མི་བྱ་ཡི
bza' btung	བཟའ་བཏུང
bza' btung ldan	བཟའ་བཏུང་ལྡན
bza' dang btung	བཟའ་དང་བཏུང
bza' mi	བཟའ་མི
bza' mo	བཟའ་མོ
bza' par bya phyir	བཟའ་པར་བྱ་ཕྱིར
bzabs	བཟབས
bzad (pa)	བཟད་⟨(pa)⟩
bzang	བཟང
bzang 'gro	བཟང་འགྲོ
bzang ba	བཟང་བ
bzang byed	བཟང་བྱེད
bzang mo'i chu	བཟང་མོའི་ཆུ
bzang ngan shes	བཟང་ངན་ཤེས
bzang po mdor bsdus pa	བཟང་པོ་མདོར་བསྡུས་པ
bzang po spyod pa	བཟང་པོ་སྤྱོད་པ
bzang po spyod pa'i smon lam gyi rgyal po	བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ
bzang po yongs su gzung ba	བཟང་པོ་ཡོངས་སུ་གཟུང་བ
bzang po zhabs	བཟང་པོ་ཞབས
bzang po'i brag	བཟང་པོའི་བྲག
bzang po'i lam pa	བཟང་པོའི་ལམ་པ
bzang po'i nas	བཟང་པོའི་ནས
bzang po'i ri	བཟང་པོའི་རི
bzang po'i tshul	བཟང་པོའི་ཚུལ
bzang sde	བཟང་སྡེ
bzang shing gi ra ba	བཟང་ཤིང་གི་ར་བ
bzang skyong	བཟང་སྐྱོང
bzang spyod kyi 'grel pa bzhi'i don bsdus nas brjed byang du byas pa	བཟང་སྤྱོད་ཀྱི་འགྲེལ་པ་བཞིའི་དོན་བསྡུས་ནས་བརྗེད་བྱང་དུ་བྱས་པ
bzang za ba	བཟང་ཟ་བ
bzar 'dzar ba	བཟར་འཛར་བ
bzar mi bya	བཟར་མི་བྱ
bzas pa	བཟས་པ
bze re can gyur nyid	བཟེ་རེ་ཅན་གྱུར་ཉིད
bzed 'dzed pa	བཟེད་འཛེད་པ
bzed zhal	བཟེད་ཞལ
bzha' ba	བཞའ་བ
bzhad bya	བཞད་བྱ
bzhad gad byed cing	བཞད་གད་བྱེད་ཅིང
bzhad gad mkhan	བཞད་གད་མཁན
bzhad gad skyes	བཞད་གད་སྐྱེས
bzhad ldan ma	བཞད་ལྡན་མ
bzhad mo che	བཞད་མོ་ཆེ
bzhag 'jog pa	བཞག་འཇོག་པ
bzhag 'ju	བཞག་འཇུ
bzhag byas nas	བཞག་བྱས་ནས
bzhag nas	བཞག་ནས
bzhag pa 'di ni mi mthun pa'o	བཞག་པ་འདི་ནི་མི་མཐུན་པའོ
bzhag par bya ba	བཞག་པར་བྱ་བ
bzhag par gyur to	བཞག་པར་གྱུར་ཏོ
bzhag ste	བཞག་སྟེ
bzhagrng	བཞགརང
bzhags nas	བཞགས་ནས
bzhas pa	བཞས་པ
bzhed	བཞེད
bzhed (pa yin)	བཞེད་⟨(pa⟩་⟨yin)⟩
bzhed dang ldan pa	བཞེད་དང་ལྡན་པ
bzhed ldan	བཞེད་ལྡན
bzhed min	བཞེད་མིན
bzhed par gyur to	བཞེད་པར་གྱུར་ཏོ
bzhen (b)skul 'debs	བཞེན་⟨(b)skul⟩་འདེབས
bzhengs	བཞེངས
bzhengs bzheng ba	བཞེངས་བཞེང་བ
bzhes par gyur	བཞེས་པར་གྱུར
bzhes thag	བཞེས་ཐག
bzhi bcu nyid	བཞི་བཅུ་ཉིད
bzhi bcu rtsa drug pa	བཞི་བཅུ་རྩ་དྲུག་པ
bzhi bcu rtsa gsum pa	བཞི་བཅུ་རྩ་གསུམ་པ
bzhi bcu rtsa lnga pa	བཞི་བཅུ་རྩ་ལྔ་པ
bzhi bcu tham pa	བཞི་བཅུ་ཐམ་པ
bzhi cha gcig	བཞི་ཆ་གཅིག
bzhi dang ldan	བཞི་དང་ལྡན
bzhi khri	བཞི་ཁྲི
bzhi mdo	བཞི་མདོ
bzhi po	བཞི་པོ
bzhi snod	བཞི་སྣོད
bzhi zhig	བཞི་ཞིག
bzhi zur =bzhi cha	བཞི་ཟུར་⟨=bzhi⟩་ཆ
bzhib	བཞིབ
bzhib 'jib(s) pa	བཞིབ་⟨'jib(s)⟩་པ
bzhib pa	བཞིབ་པ
bzhig 'jig pa	བཞིག་འཇིག་པ
bzhin 'bar	བཞིན་འབར
bzhin 'dzum	བཞིན་འཛུམ
bzhin 'dzum pa	བཞིན་འཛུམ་པ
bzhin 'jigs su rung bar (b)sgyur ba	བཞིན་འཇིགས་སུ་རུང་བར་⟨(b)sgyur⟩་བ
bzhin 'khyog	བཞིན་འཁྱོག
bzhin bsdus	བཞིན་བསྡུས
bzhin bsgyur cing	བཞིན་བསྒྱུར་ཅིང
bzhin bzang	བཞིན་བཟང
bzhin bzang ma	བཞིན་བཟང་མ
bzhin chu skyes	བཞིན་ཆུ་སྐྱེས
bzhin dpal	བཞིན་དཔལ
bzhin du bkra mi shis pa	བཞིན་དུ་བཀྲ་མི་ཤིས་པ
bzhin gyi dpal rgyas pa	བཞིན་གྱི་དཔལ་རྒྱས་པ
bzhin gyi mdog kyang 'gyur bas	བཞིན་གྱི་མདོག་ཀྱང་འགྱུར་བས
bzhin gyi padma	བཞིན་གྱི་པདྨ
bzhin gyi rngul gyis bran pa	བཞིན་གྱི་རྔུལ་གྱིས་བྲན་པ
bzhin gyi zla ba	བཞིན་གྱི་ཟླ་བ
bzhin gyur cing nyams te	བཞིན་གྱུར་ཅིང་ཉམས་ཏེ
bzhin lag	བཞིན་ལག
bzhin ras mdzes pa	བཞིན་རས་མཛེས་པ
bzhin ras padma	བཞིན་རས་པདྨ
bzhin ras ri bong can	བཞིན་རས་རི་བོང་ཅན
bzhir dbye	བཞིར་དབྱེ
bzho	བཞོ
bzho 'jo ba	བཞོ་འཇོ་བ
bzhogs 'jog pa	བཞོགས་འཇོག་པ
bzhon pa 'dod pa	བཞོན་པ་འདོད་པ
bzhon pa dkar po	བཞོན་པ་དཀར་པོ
bzhon pa lta bu'i sems bskyed	བཞོན་པ་ལྟ་བུའི་སེམས་བསྐྱེད
bzhon pa yin pa	བཞོན་པ་ཡིན་པ
bzhos	བཞོས
bzhu zin	བཞུ་ཟིན
bzhugs	བཞུགས
bzhugs gnas	བཞུགས་གནས
bzhugs gyur cig	བཞུགས་གྱུར་ཅིག
bzhugs mdzad	བཞུགས་མཛད
bzhugs pa	བཞུགས་པ
bzhugs par 'gyur	བཞུགས་པར་འགྱུར
bzhugs shig	བཞུགས་ཤིག
bzhugs so	བཞུགས་སོ
bzhur	བཞུར
bzhus 'ju ba	བཞུས་འཇུ་བ
bzla ba	བཟླ་བ
bzlas brjod dang bcas pa'i bsam gtan	བཟླས་བརྗོད་དང་བཅས་པའི་བསམ་གཏན
bzlas brjod la ma bltos pa'i bsam gtan	བཟླས་བརྗོད་ལ་མ་བལྟོས་པའི་བསམ་གཏན
bzlas brjod pa	བཟླས་བརྗོད་པ
bzlas dka' ba	བཟླས་དཀའ་བ
bzlas pa	བཟླས་པ
bzlas pas	བཟླས་པས
bzlo ba	བཟློ་བ
bzlog	བཟློག
bzlog bya ba'i phyir	བཟློག་བྱ་བའི་ཕྱིར
bzlog dka' ba	བཟློག་དཀའ་བ
bzlog gyur	བཟློག་གྱུར
bzlog mi byed	བཟློག་མི་བྱེད
bzlog nas	བཟློག་ནས
bzlog pa brjod pa	བཟློག་པ་བརྗོད་པ
bzlog pa byas	བཟློག་པ་བྱས
bzlog pa'i phyir	བཟློག་པའི་ཕྱིར
bzlog pa'i thabs	བཟློག་པའི་ཐབས
bzlog par	བཟློག་པར
bzlog par 'gyur	བཟློག་པར་འགྱུར
bzlog par bya	བཟློག་པར་བྱ
bzlog par bya ba	བཟློག་པར་བྱ་བ
bzlog ste	བཟློག་སྟེ
bzlog zin	བཟློག་ཟིན
bzlogs par	བཟློགས་པར
bzlos zla ba	བཟློས་ཟླ་བ
bzlug zlug(sa) pa	བཟླུག་⟨zlug(sa)⟩་པ
bzlugs	བཟླུགས
bzlums te	བཟླུམས་ཏེ
bzo ba	བཟོ་བ
bzo ba po	བཟོ་བ་པོ
bzo ba'i rigs	བཟོ་བའི་རིགས
bzo rgyun	བཟོ་རྒྱུན
bzo rigs	བཟོ་རིགས
bzo sbyangs	བཟོ་སྦྱངས
bzo shes	བཟོ་ཤེས
bzo yi las byed	བཟོ་ཡི་ལས་བྱེད
bzo'i bgyi ba sna tshogs	བཟོའི་བགྱི་བ་སྣ་ཚོགས
bzo'i sbyor gyi rtags	བཟོའི་སྦྱོར་གྱི་རྟགས
bzo'i tshig	བཟོའི་ཚིག
bzod bya	བཟོད་བྱ
bzod byed	བཟོད་བྱེད
bzod byed pa	བཟོད་བྱེད་པ
bzod dang ldan	བཟོད་དང་ལྡན
bzod dga'	བཟོད་དགའ
bzod dka' ba	བཟོད་དཀའ་བ
bzod dka' rengs	བཟོད་དཀའ་རེངས
bzod la kun chags	བཟོད་ལ་ཀུན་ཆགས
bzod ldan	བཟོད་ལྡན
bzod ldan tshul	བཟོད་ལྡན་ཚུལ
bzod ma	བཟོད་མ
bzod mi bya	བཟོད་མི་བྱ
bzod pa bla na med pa	བཟོད་པ་བླ་ན་མེད་པ
bzod pa bsten	བཟོད་པ་བསྟེན
bzod pa che ba	བཟོད་པ་ཆེ་བ
bzod pa dang des pa chen po dang ldan pa	བཟོད་པ་དང་དེས་པ་ཆེན་པོ་དང་ལྡན་པ
bzod pa dang des pa dang dran pa'i ~~sa legs par sbyar ba	བཟོད་པ་དང་དེས་པ་དང་དྲན་པའི་⟨~~sa⟩་ལེགས་པར་སྦྱར་བ
bzod pa dang ldan pa	བཟོད་པ་དང་ལྡན་པ
bzod pa dka'	བཟོད་པ་དཀའ
bzod pa la dga' ba	བཟོད་པ་ལ་དགའ་བ
bzod pa ma yin	བཟོད་པ་མ་ཡིན
bzod pa mdzod cig	བཟོད་པ་མཛོད་ཅིག
bzod pa tshul khrims dang ldan	བཟོད་པ་ཚུལ་ཁྲིམས་དང་ལྡན
bzod pa yin	བཟོད་པ་ཡིན
bzod pa'i gnas	བཟོད་པའི་གནས
bzod pa'i gnas skabs	བཟོད་པའི་གནས་སྐབས
bzod pa'i rgya mtsho	བཟོད་པའི་རྒྱ་མཚོ
bzod pa'i rtse sbyor	བཟོད་པའི་རྩེ་སྦྱོར
bzod pa'i sems ldan pa	བཟོད་པའི་སེམས་ལྡན་པ
bzod par	བཟོད་པར
bzod par 'gyur	བཟོད་པར་འགྱུར
bzod par bya bar 'gyur	བཟོད་པར་བྱ་བར་འགྱུར
bzod par byos	བཟོད་པར་བྱོས
bzod par chags	བཟོད་པར་ཆགས
bzod par gsol	བཟོད་པར་གསོལ
bzod par gyis shig	བཟོད་པར་གྱིས་ཤིག
bzod par mi nus pa	བཟོད་པར་མི་ནུས་པ
bzod pas	བཟོད་པས
bzod po che	བཟོད་པོ་ཆེ
bzod shes	བཟོད་ཤེས
bzung 'dzin rdzas gzhan	བཟུང་འཛིན་རྫས་གཞན
bzung 'jug	བཟུང་འཇུག
bzung (gzung) bar ~~'i phyir	བཟུང་⟨(gzung)⟩་བར་⟨~~'i⟩་ཕྱིར
bzung ba dag tu gyur to	བཟུང་བ་དག་ཏུ་གྱུར་ཏོ
bzung ba dang [bsam	བཟུང་བ་དང་⟨[bsam⟩
bzung bar bya	བཟུང་བར་བྱ
bzung bar gyur	བཟུང་བར་གྱུར
bzung bar ma gyur to	བཟུང་བར་མ་གྱུར་ཏོ
bzung bya	བཟུང་བྱ
bzung byas te	བཟུང་བྱས་ཏེ
bzung dka'	བཟུང་དཀའ
bzung gyur te	བཟུང་གྱུར་ཏེ
bzung ltar phra ba	བཟུང་ལྟར་ཕྲ་བ
bzung na	བཟུང་ན
bzung rnam	བཟུང་རྣམ
bzung zhing	བཟུང་ཞིང
bzungs	བཟུངས
bzur 'dzur ba	བཟུར་འཛུར་བ
cU ta	ཅཱུ་ཏ
ca co byas	ཅ་ཅོ་བྱས
ca co sgrog par song	ཅ་ཅོ་སྒྲོག་པར་སོང
ca cor sgrog byed	ཅ་ཅོར་སྒྲོག་བྱེད
ca cu	ཅ་ཅུ
cam du 'debs pa	ཅམ་དུ་འདེབས་པ
can	ཅན
can yin	ཅན་ཡིན
cang cang te'u	ཅང་ཅང་ཏེའུ
cang mi gsung ba	ཅང་མི་གསུང་བ
cang mi gsung bar bzhugs so	ཅང་མི་གསུང་བར་བཞུགས་སོ
cang mi smra	ཅང་མི་སྨྲ
cang mi smra bar gyur te	ཅང་མི་སྨྲ་བར་གྱུར་ཏེ
cang mi smra zhing	ཅང་མི་སྨྲ་ཞིང
cang mi ~~	ཅང་མི་⟨~~⟩
cang shes kyi 'gros	ཅང་ཤེས་ཀྱི་འགྲོས
cang shes pas zas za ba yin	ཅང་ཤེས་པས་ཟས་ཟ་བ་ཡིན
cang shes thob gyur pa	ཅང་ཤེས་ཐོབ་གྱུར་པ
cang shes ~~	ཅང་ཤེས་⟨~~⟩
cang, ci yang	ཅང། ཅི་ཡང
car ma	ཅར་མ
ce cang	ཅེ་ཅང
ce na	ཅེ་ན
ce spyang gdong	ཅེ་སྤྱང་གདོང
ce'o	ཅེའོ
ces brjod pa	ཅེས་བརྗོད་པ
ces bya ba	ཅེས་བྱ་བ
ces bya ba bzhugs	ཅེས་བྱ་བ་བཞུགས
ces gsungs pa	ཅེས་གསུངས་པ
ces mchi'o	ཅེས་མཆིའོ
ces pa	ཅེས་པ
ces pa 'di	ཅེས་པ་འདི
ces pa'i bar	ཅེས་པའི་བར
ces smon lam de skad btab po	ཅེས་སྨོན་ལམ་དེ་སྐད་བཏབ་པོ
cha 'bul ba	ཆ་འབུལ་བ
cha bas	ཆ་བས
cha bcas yin pa'i phyir	ཆ་བཅས་ཡིན་པའི་ཕྱིར
cha byad du bsgyur cing	ཆ་བྱད་དུ་བསྒྱུར་ཅིང
cha byad sna tshogs 'chang ba	ཆ་བྱད་སྣ་ཚོགས་འཆང་བ
cha bzhi pa	ཆ་བཞི་པ
cha can	ཆ་ཅན
cha cung zad	ཆ་ཅུང་ཟད
cha dang mthun	ཆ་དང་མཐུན
cha dpyad 'jam rtsi sbubs 'dra	ཆ་དཔྱད་འཇམ་རྩི་སྦུབས་འདྲ
cha dpyad bde legs	ཆ་དཔྱད་བདེ་ལེགས
cha dpyad las	ཆ་དཔྱད་ལས
cha drug sa	ཆ་དྲུག་ས
cha ga bltab pa	ཆ་ག་བལྟབ་པ
cha gnas gyur	ཆ་གནས་གྱུར
cha gnyis	ཆ་གཉིས
cha gnyis dus	ཆ་གཉིས་དུས
cha gsum 'bring po'i cho ga	ཆ་གསུམ་འབྲིང་པོའི་ཆོ་ག
cha gter	ཆ་གཏེར
cha lugs	ཆ་ལུགས
cha lugs bzang	ཆ་ལུགས་བཟང
cha mdzes	ཆ་མཛེས
cha med	ཆ་མེད
cha mnyam	ཆ་མཉམ
cha nas bzhag pa	ཆ་ནས་བཞག་པ
cha nyams	ཆ་ཉམས
cha shas kyi yan lag ces bya ba'i rab tu byed pa	ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ
cha shas mche rtsig	ཆ་ཤས་མཆེ་རྩིག
cha shas med pa	ཆ་ཤས་མེད་པ
cha shas phye na	ཆ་ཤས་ཕྱེ་ན
cha shas sbyang ba	ཆ་ཤས་སྦྱང་བ
cha spyad	ཆ་སྤྱད
cha tshang ba	ཆ་ཚང་བ
cha yi gcod cing	ཆ་ཡི་གཅོད་ཅིང
cha yi thigs	ཆ་ཡི་ཐིགས
cha yul	ཆ་ཡུལ
cha … mi mnyam	ཆ་མི་མཉམ
cha'o	ཆའོ
chab	ཆབ
chab 'og gi rgyal phran	ཆབ་འོག་གི་རྒྱལ་ཕྲན
chab gtor	ཆབ་གཏོར
chab khung sa	ཆབ་ཁུང་ས
chab ma	ཆབ་མ
chad byed pa	ཆད་བྱེད་པ
chad ldan	ཆད་ལྡན
chad lta smra ba	ཆད་ལྟ་སྨྲ་བ
chad med	ཆད་མེད
chad pa ma yin pa'i tshig	ཆད་པ་མ་ཡིན་པའི་ཚིག
chad pa med	ཆད་པ་མེད
chad pa pa	ཆད་པ་པ
chad pa'i 'jigs skyobs	ཆད་པའི་འཇིགས་སྐྱོབས
chad pa'i lugs	ཆད་པའི་ལུགས
chad pa'i tshar gcad pa	ཆད་པའི་ཚར་གཅད་པ
chad par bgyid pa	ཆད་པར་བགྱིད་པ
chad par byas	ཆད་པར་བྱས
chad par lta ba rgyu dang mu stegs can	ཆད་པར་ལྟ་བ་རྒྱུ་དང་མུ་སྟེགས་ཅན
chad par smra ba	ཆད་པར་སྨྲ་བ
chad pas bcad	ཆད་པས་བཅད
chad pas gcod pa	ཆད་པས་གཅོད་པ
chad rgyun	ཆད་རྒྱུན
chad tsam las byung ba'i	ཆད་ཙམ་ལས་བྱུང་བའི
chad yod	ཆད་ཡོད
chag chag btab pa	ཆག་ཆག་བཏབ་པ
chag chag legs par btab pa	ཆག་ཆག་ལེགས་པར་བཏབ་པ
chag drug sbyor	ཆག་དྲུག་སྦྱོར
chag gang	ཆག་གང
chag grugs 'byor byed	ཆག་གྲུགས་འབྱོར་བྱེད
chag gyur la	ཆག་གྱུར་ལ
chag med	ཆག་མེད
chag zur	ཆག་ཟུར
chag(s) 'chag pa	⟨chag(s)⟩་འཆག་པ
chags bdag	ཆགས་བདག
chags bdag dkar po phyag bzhi pa ~~	ཆགས་བདག་དཀར་པོ་ཕྱག་བཞི་པ་⟨~~⟩
chags bral bla ma	ཆགས་བྲལ་བླ་མ
chags bral bzhin	ཆགས་བྲལ་བཞིན
chags bral dang yang ldan	ཆགས་བྲལ་དང་ཡང་ལྡན
chags bral gyis brgyan pa	ཆགས་བྲལ་གྱིས་བརྒྱན་པ
chags bral ldan pa	ཆགས་བྲལ་ལྡན་པ
chags bral sngon song	ཆགས་བྲལ་སྔོན་སོང
chags bral te	ཆགས་བྲལ་ཏེ
chags bya	ཆགས་བྱ
chags can	ཆགས་ཅན
chags can gyi rig pa yin pa'i phyir	ཆགས་ཅན་གྱི་རིག་པ་ཡིན་པའི་ཕྱིར
chags dang bcas shing g-yo ba	ཆགས་དང་བཅས་ཤིང་⟨g-yo⟩་བ
chags dang bral ba	ཆགས་དང་བྲལ་བ
chags dang ldan par gyur	ཆགས་དང་ལྡན་པར་གྱུར
chags gyur tshe	ཆགས་གྱུར་ཚེ
chags ldan	ཆགས་ལྡན
chags med 'od zer	ཆགས་མེད་འོད་ཟེར
chags med blo can	ཆགས་མེད་བློ་ཅན
chags med gyur	ཆགས་མེད་གྱུར
chags mi bya	ཆགས་མི་བྱ
chags nyams	ཆགས་ཉམས
chags nyams gso ba	ཆགས་ཉམས་གསོ་བ
chags pa 'phel ba	ཆགས་པ་འཕེལ་བ
chags pa che	ཆགས་པ་ཆེ
chags pa dang bral	ཆགས་པ་དང་བྲལ
chags pa dang bral bar yang mi 'gyur ro	ཆགས་པ་དང་བྲལ་བར་ཡང་མི་འགྱུར་རོ
chags pa me tog	ཆགས་པ་མེ་ཏོག
chags pa med pa	ཆགས་པ་མེད་པ
chags pa med pa'i sgor 'jug pa	ཆགས་པ་མེད་པའི་སྒོར་འཇུག་པ
chags pa med par	ཆགས་པ་མེད་པར
chags pa nyid ma yin	ཆགས་པ་ཉིད་མ་ཡིན
chags pa ste	ཆགས་པ་སྟེ
chags pa thams cad dang bral ba	ཆགས་པ་ཐམས་ཅད་དང་བྲལ་བ
chags pa thams cad sel bar byed	ཆགས་པ་ཐམས་ཅད་སེལ་བར་བྱེད
chags pa yis gzir ma	ཆགས་པ་ཡིས་གཟིར་མ
chags pa ~~	ཆགས་པ་⟨~~⟩
chags pa'i bskal pa	ཆགས་པའི་བསྐལ་པ
chags pa'i chu gter	ཆགས་པའི་ཆུ་གཏེར
chags pa'i mtha'	ཆགས་པའི་མཐའ
chags pa'i rgya mtsho	ཆགས་པའི་རྒྱ་མཚོ
chags pa'i zhags pas drangs gyur cing	ཆགས་པའི་ཞགས་པས་དྲངས་གྱུར་ཅིང
chags par 'gyur	ཆགས་པར་འགྱུར
chags par byed pa	ཆགས་པར་བྱེད་པ
chags par yang mi 'gyur chags pa dang bral bar yang mi 'gyur ro	ཆགས་པར་ཡང་མི་འགྱུར་ཆགས་པ་དང་བྲལ་བར་ཡང་མི་འགྱུར་རོ
chags pas long	ཆགས་པས་ལོང
chags pas nyams pa'i yid can	ཆགས་པས་ཉམས་པའི་ཡིད་ཅན
chags pas rmongs pa	ཆགས་པས་རྨོངས་པ
chags sdang	ཆགས་སྡང
chags sdang dug	ཆགས་སྡང་དུག
chags sdang rmongs gsum	ཆགས་སྡང་རྨོངས་གསུམ
chags sems	ཆགས་སེམས
chags shing zhen pa	ཆགས་ཤིང་ཞེན་པ
chags sogs rnams	ཆགས་སོགས་རྣམས
chags spyod	ཆགས་སྤྱོད
chags zad	ཆགས་ཟད
chal ba'i tshul khrims	ཆལ་བའི་ཚུལ་ཁྲིམས
chal bar bkram pa	ཆལ་བར་བཀྲམ་པ
cham du	ཆམ་དུ
cham du 'debs pa	ཆམ་དུ་འདེབས་པ
cham la phab	ཆམ་ལ་ཕབ
cham pa drag btab	ཆམ་པ་དྲག་བཏབ
chan gri	ཆན་གྲི
chang 'thung	ཆང་འཐུང
chang 'thung ba	ཆང་འཐུང་བ
chang 'thung ba gnas	ཆང་འཐུང་བ་གནས
chang 'thungs	ཆང་འཐུངས
chang (')tshong	ཆང་⟨(')tshong⟩
chang bu	ཆང་བུ
chang g-yos	ཆང་⟨g-yos⟩
chang gi dbang po	ཆང་གི་དབང་པོ
chang gi nying khu	ཆང་གི་ཉིང་ཁུ
chang gi ri mo	ཆང་གི་རི་མོ
chang gis g-yos	ཆང་གིས་⟨g-yos⟩
chang gis gzi	ཆང་གིས་གཟི
chang gis ma bcom	ཆང་གིས་མ་བཅོམ
chang gzungs	ཆང་གཟུངས
chang lhas	ཆང་ལྷས
chang ma'i khyim	ཆང་མའི་ཁྱིམ
chang nad	ཆང་ནད
chang nad gzir	ཆང་ནད་གཟིར
chang pa	ཆང་པ
chang pa stong pa	ཆང་པ་སྟོང་པ
chang rnying	ཆང་རྙིང
chang tshad	ཆང་ཚད
chang yo	ཆང་ཡོ
char 'bab mkhas pa	ཆར་འབབ་མཁས་པ
char 'babs	ཆར་འབབས
char 'babs mi mkhas pa	ཆར་འབབས་མི་མཁས་པ
char 'bebs	ཆར་འབེབས
char 'gog	ཆར་འགོག
char ba	ཆར་བ
char bab	ཆར་བབ
char bab po	ཆར་བབ་པོ
char can	ཆར་ཅན
char che'i dus	ཆར་ཆེའི་དུས
char drag pa	ཆར་དྲག་པ
char dus	ཆར་དུས
char gcod	ཆར་གཅོད
char gtogs pa	ཆར་གཏོགས་པ
char gyi dus	ཆར་གྱི་དུས
char gyi rgyu	ཆར་གྱི་རྒྱུ
char ma zhing	ཆར་མ་ཞིང
char med kyis bcom	ཆར་མེད་ཀྱིས་བཅོམ
char pa 'bab par gyur	ཆར་པ་འབབ་པར་གྱུར
char pa 'bebs	ཆར་པ་འབེབས
char pa mngon par 'bebs	ཆར་པ་མངོན་པར་འབེབས
char pa ~~sa lo thog ngoms par byed	ཆར་པ་⟨~~sa⟩་ལོ་ཐོག་ངོམས་པར་བྱེད
char pa … phob	ཆར་པ་ཕོབ
char pa'i bdag po	ཆར་པའི་བདག་པོ
char sprin	ཆར་སྤྲིན
char sprin rgya mo	ཆར་སྤྲིན་རྒྱ་མོ
char yang	ཆར་ཡང
char yang phab bo	ཆར་ཡང་ཕབ་བོ
char ~~	ཆར་⟨~~⟩
chas 'od gsal zhing dang ba	ཆས་འོད་གསལ་ཞིང་དང་བ
chas chod	ཆས་ཆོད
chas dag mdzad	ཆས་དག་མཛད
chas gyur te	ཆས་གྱུར་ཏེ
chas mkhan	ཆས་མཁན
chas pa	ཆས་པ
chas par gyur pa	ཆས་པར་གྱུར་པ
chas su byas	ཆས་སུ་བྱས
chas zhugs	ཆས་ཞུགས
che	ཆེ
che ba chen po	ཆེ་བ་ཆེན་པོ
che ba'i grog mkhar	ཆེ་བའི་གྲོག་མཁར
che ba'i mtsho	ཆེ་བའི་མཚོ
che ba'i nga rgyal	ཆེ་བའི་ང་རྒྱལ
che bar dar	ཆེ་བར་དར
che bar skyes gyur pa	ཆེ་བར་སྐྱེས་གྱུར་པ
che bzhi rmas pa (smras pa)	ཆེ་བཞི་རྨས་པ་⟨(smras⟩་⟨pa)⟩
che cher rgan mo	ཆེ་ཆེར་རྒན་མོ
che chung	ཆེ་ཆུང
che chung dang mtho dman la sags pa'i ming la	ཆེ་ཆུང་དང་མཐོ་དམན་ལ་སགས་པའི་མིང་ལ
che chung skor gnyis	ཆེ་ཆུང་སྐོར་གཉིས
che dpang po	ཆེ་དཔང་པོ
che ge mo zhig na	ཆེ་གེ་མོ་ཞིག་ན
che ge mo zhig tu	ཆེ་གེ་མོ་ཞིག་ཏུ
che rtan byed	ཆེ་རྟན་བྱེད
che tshad tsam	ཆེ་ཚད་ཙམ
