# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
ཉེ་བར་བཀོད	nye bar bkod
ཉེ་བར་སྐྱེ་བར་འགྱུར	nye bar skye bar 'gyur
ཉེ་བར་མཁོ་བ་མ་ཡིན	nye bar mkho ba ma yin
ཉེ་བར་འཁྱུད	nye bar 'khyud
ཉེ་བར་གུས	nye bar gus
ཉེ་བར་གྱུར	nye bar gyur
ཉེ་བར་དགོངས	nye bar dgongs
ཉེ་བར་འགོད་པ	nye bar 'god pa
དཔེ་⟨~~bstan⟩་པ	dpe [⟨~~bstan⟩] pa
ཉེ་བར་སྒྱུར་བ་ཉི་ཤུ་པའི་འགྲེལ་པ	nye bar sgyur ba nyi shu pa'i 'grel pa
ཉེ་བར་སྒྲུབ་པར་⟨bgyi('o)⟩	nye bar sgrub par [⟨bgyi('o)⟩]
ཉེ་བར་བརྒལ་བ	nye bar brgal ba
ཉེ་བར་⟨(b)sgyur⟩་བ	nye bar [⟨(b)sgyur⟩] ba
ཉེ་བར་བསྒྲུབ་པ	nye bar bsgrub pa
ཉེ་བར་བསྒྲུབ་པ་མཛད	nye bar bsgrub pa mdzad
ཉེ་བར་བསྒྲུབ་པ་མཛད་པ	nye bar bsgrub pa mdzad pa
ཉེ་བར་བསྒྲུབ་པར་གྱུར	nye bar bsgrub par gyur
ཉེ་བར་བསྒྲུབ་པར་བགྱི	nye bar bsgrub par bgyi
ཉེ་བར་བསྒྲུབ་བོ	nye bar bsgrub bo
ཉེ་བར་བསྒྲུབས	nye bar bsgrubs
ཉེ་བར་བསྒྲུབས་ཏེ་གནས་སོ	nye bar bsgrubs te gnas so
ཉེ་བར་ཆགས་པ	nye bar chags pa
ཉེ་བར་མཆོད་པ	nye bar mchod pa
ཉེ་བར་འཇལ་བ	nye bar 'jal ba
ཉེ་བར་བསྙེན་པ	nye bar bsnyen pa
ཉེ་བར་གཏོང་བ	nye bar gtong ba
ཉེ་བར་བཏགས་ནས	nye bar btags nas
ཉེ་བར་བཏགས་པ	nye bar btags pa
ཉེ་བར་རྟོགས་པ	nye bar rtogs pa
ཉེ་བར་རྟོན་པ	nye bar rton pa
ཉེ་བར་བརྟག་པར་བྱ་དགོས་པ	nye bar brtag par bya dgos pa
ཉེ་བར་⟨brtag(s)⟩་པ	nye bar [⟨brtag(s)⟩] pa
ཉེ་བར་བརྟན་པ	nye bar brtan pa
ཉེ་བར་བརྟེན་པ	nye bar brten pa
ཉེ་བར་བསྟེན་པ	nye bar bsten pa
ཉེ་བར་འདུག་པ	nye bar 'dug pa
ཉེ་བར་འདྲེན	nye bar 'dren
ཉེ་བར་སྡུད་པ	nye bar sdud pa
ཉེ་བར་གནས་གྱུར་ཅིག	nye bar gnas gyur cig
ཉེ་བར་སྤྱད་པ	nye bar spyad pa
ཉེ་བར་སྤྱོད	nye bar spyod
ཉེ་བར་སྤྱོད་ཀྱི	nye bar spyod kyi
ཉེ་བར་སྤྱོད་པ	nye bar spyod pa
ཉེ་བར་སྤྱོད་པ་དང་བཅས་པ་སྲན་མ་ཥའི་ཞལ་གྱི་གཟུངས	nye bar spyod pa dang bcas pa sran ma Sha'i zhal gyi gzungs
ཉེ་བར་སྤྱོད་པ་ལ་སྐྱོན་མེད་པ	nye bar spyod pa la skyon med pa
ཉེ་བར་ཕན	nye bar phan
ཉེ་བར་ཕན་འདོགས	nye bar phan 'dogs
ཉེ་བར་འཕར་འགྲོ	nye bar 'phar 'gro
ཉེ་བར་བྱས་པ	nye bar byas pa
ཉེ་བར་བྱེད	nye bar byed
ཉེ་བར་བླང་བ	nye bar blang ba
ཉེ་བར་འབུལ	nye bar 'bul
ཉེ་བར་སྦས	nye bar sbas
ཉེ་བར་སྦྱོར	nye bar sbyor
ཉེ་བར་སྦྱོར་བ	nye bar sbyor ba
ཉེ་བར་སྦྱོར་མ	nye bar sbyor ma
ཉེ་བར་མ་གོས་པ	nye bar ma gos pa
ཉེ་བར་མ་བསྟན་པ	nye bar ma bstan pa
⟨~~'i⟩་སྦྱིན་པ་ཅན་རྣམས	[⟨~~'i⟩] sbyin pa can rnams
⟨~~'i⟩་བརྩོན་འགྲུས་ཅན་རྣམས	[⟨~~'i⟩] brtson 'grus can rnams
⟨~~'i⟩་ཚུལ་ཁྲིམས་ཅན་རྣམས	[⟨~~'i⟩] tshul khrims can rnams
⟨~~'i⟩་བཟོད་པ་ཅན་རྣམས	[⟨~~'i⟩] bzod pa can rnams
⟨~~'i⟩་ཤེས་རབ་ཅན་རྣམས	[⟨~~'i⟩] shes rab can rnams
⟨~~'i⟩་བསམ་གཏན་ཅན་རྣམས	[⟨~~'i⟩] bsam gtan can rnams
ཉེ་བར་མི་འགྲོ	nye bar mi 'gro
བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ	brgya'i char yang nye bar mi 'gro
ཉེ་བར་མི་གནས	nye bar mi gnas
ཉེ་བར་མི་རིག	nye bar mi rig
ཉེ་བར་དམིགས	nye bar dmigs
ཉེ་བར་སྩོགས་སྟེ	nye bar stsogs ste
ཉེ་བར་སྩོགས་པ	nye bar stsogs pa
ཉེ་བར་སྩོགས་ཤིང་ཡང་དག་པར་སྡུད་པ	nye bar stsogs shing yang dag par sdud pa
ཉེ་བར་ཚེམ་ཚོགས	nye bar tshem tshogs
ཉེ་བར་མཚན་པ	nye bar mtshan pa
ཉེ་བར་མཚོན་པ	nye bar mtshon pa
ཉེ་བར་མཛེས་ཤིང	nye bar mdzes shing
ཉེ་བར་ཞི་བའི་བྱིན་གྱིས་བརླབས	nye bar zhi ba'i byin gyis brlabs
ཉེ་བར་ཞི་བའི་བྱིན་གྱིས་བརླབས་པ	nye bar zhi ba'i byin gyis brlabs pa
ཉེ་བར་ཞི་བར་འགྱུར་རོ	nye bar zhi bar 'gyur ro
ཉེ་བར་ཞི་བར་བྱ་བའི་ཕྱིར་མ་ཡིན་གྱི	nye bar zhi bar bya ba'i phyir ma yin gyi
ཉེ་བར་གཞག	nye bar gzhag
ཉེ་བར་གཞག་པས་ཁ་བསྒྱུར་བ	nye bar gzhag pas kha bsgyur ba
ཉེ་བར་བཞག་⟨(gzhog)⟩་སྟེ	nye bar bzhag [⟨(gzhog)⟩] ste
དྲན་པ་⟨~~⟩	dran pa [⟨~~⟩]
ཉེ་བར་བཞགས་ནས	nye bar bzhags nas
ཉེ་བར་གཟིགས་པར་འགྱུར	nye bar gzigs par 'gyur
ཉེ་བར་བཟུང་ནས	nye bar bzung nas
ཉེ་བར་བཟུང་བ	nye bar bzung ba
ཉེ་བར་ལེན	nye bar len
ཉེ་བར་ལེན་པ་ལས་བྱུང་བ	nye bar len pa las byung ba
ཉེ་བར་ལེན་པའི་རྒྱུ	nye bar len pa'i rgyu
ཉེ་བར་ལེན་པའི་ཕུང་པོ	nye bar len pa'i phung po
ཉེ་བར་ལེན་པོ	nye bar len po
ཉེ་བར་ལེན་བྱེད	nye bar len byed
ཉེ་བར་ལོངས་སྤྱོད་པ	nye bar longs spyod pa
⟨(nye⟩་⟨bar)⟩་སོ་སྤྱོང་བྱེད་པ	[⟨(nye⟩] [⟨bar)⟩] so spyong byed pa
ཉེ་བར་སོང	nye bar song
ཉེ་བར་སོང་བ	nye bar song ba
ཉེ་བར་སོང་བར་བྱས་ནས	nye bar song bar byas nas
ཉེ་བར་སྲེག་པར་བྱེད་པ	nye bar sreg par byed pa
ཉེ་བར་གསོ་སྦྱོང་བྱེད	nye bar gso sbyong byed
ཉེ་བར་གསོགས་པ	nye bar gsogs pa
ཉེ་དབང	nye dbang
ཉེ་ཙེའི་སྤྱི	nye tse'i spyi
ཉེ་རྩེར་ལྔ	nye rtser lnga
ཉེ་ཚལ	nye tshal
ཉེ་ཚིག	nye tshig
ཉེ་ཚེ་བ	nye tshe ba
ཉེ་ཚེ་བའི་ཐེག་པ	nye tshe ba'i theg pa
ཉེ་ཚེའི་སངས་རྒྱས	nye tshe'i sangs rgyas
ཉེ་ཚོང་བྱེད་པ	nye tshong byed pa
ཉེ་འཚོ	nye 'tsho
བདག་ནི་⟨[nye⟩། ⟨nyer]⟩་འཚོའི་རྒྱུར་ཡང་ཤོག	bdag ni [⟨\[nye⟩]/[ ⟨nyer\]⟩] 'tsho'i rgyur yang shog
ཉེ་མཛེས	nye mdzes
ཉ་ཞོ་ཀུན་ལས་རྣམ་རྒྱལ་མཆོད་རྟེན་ཆེ	nya zho kun las rnam rgyal mchod rten che
ཉེ་ཞོ་མེད་པ	nye zho med pa
ཉེ་ཟ	nye za
ཉེ་ཟུང	nye zung
ཉེ་རེག	nye reg
ཉེ་ལོགས	nye logs
ཉེ་ཤིང	nye shing
ཉེན	nyen
ཉེན་ནས	nyen nas
ཉེའུ་སིང	nye'u sing
ཉེར་བསྐྱོད	nyer bskyod
ཉེར་བསྐྲུན	nyer bskrun
ཉར་འཁོད	nyar 'khod
ཉེར་གྲོལ	nyer grol
ཉེར་དགའ	nyer dga'
ཉེར་དགུ	nyer dgu
ཉེར་འགྲོར	nyer 'gror
ཉེར་སྒྲུབ	nyer sgrub
ཉེར་བརྒྱད	nyer brgyad
ཉེར་བསྒྱུར	nyer bsgyur
ཉེར་ལྔ	nyer lnga
ཉེར་བསྔོགས	nyer bsngogs
ཉེར་བཅིང	nyer bcing
ཉེར་འཇལ	nyer 'jal
ཉར་གཉིས	nyar gnyis
ཉེར་བསྟན	nyer bstan
ཉེར་དྲུག	nyer drug
ཉེར་བདུན	nyer bdun
ཉེར་གནས	nyer gnas
ཉེར་གནས་པ	nyer gnas pa
ཉེར་གནས་པ་མེད་པ	nyer gnas pa med pa
ཉེར་སྤྱད	nyer spyad
ཉེར་སྤྱོད	nyer spyod
ཉེར་བྱུང	nyer byung
ཉེར་བླངས	nyer blangs
ཉེར་འབུལ	nyer 'bul
ཉེར་དམིགས་པ	nyer dmigs pa
ཉེར་ཚད	nyer tshad
ཉེར་མཚོན	nyer mtshon
ཉེར་འཚེ	nyer 'tshe
བདག་ནི་ཉེར	bdag ni nyer
སེམས་ཅན་དཔག་ཏུ་མེད་པ་ཡི་རྣམ་མང་ཉེར་འཚོའི་གཞིར་ཡང་ཤོག	sems can dpag tu med pa yi rnam mang nyer 'tsho'i gzhir yang shog
ཉེར་འཚོ་ཀུན་སྐྱོབ་བ་ཀུ་ལ	nyer 'tsho kun skyob ba ku la
ཉར་ཞི	nyar zhi
ཉེར་ཞི་ལ་གནས	nyer zhi la gnas
ཉེར་བཞག་ནས	nyer bzhag nas
ཉེར་བཞི	nyer bzhi
ཉེར་ལོགས	nyer logs
ཉེར་སོང་སྟེ	nyer song ste
ཉེར་གསུམ	nyer gsum
ཉེར་བསགས	nyer bsags
ཉེར་བསགས་ན	nyer bsags na
ཉེར་བསགས་ནས	nyer bsags nas
འདོད་ཆགས་ལ་སོགས་ཉེས་བརྒྱ་ཡི	'dod chags la sogs nyes brgya yi
ཉེས་དང་བཅས་པ	nyes dang bcas pa
ལུས་ཀྱིས་ཁྱོད་ལ་ཅི་ཞིག་བྱ་ཉེས	lus kyis khyod la ci zhig bya nyes
ཟས་ཀྱི་དོན་དུ་འདི་བསྲུང་རིགས	zas kyi don du 'di bsrung rigs
ཉེས་པ་ངོར་⟨(brjod⟩་⟨pa)⟩	nyes pa ngor [⟨(brjod⟩] [⟨pa)⟩]
ཉེས་པ་ཉིད	nyes pa nyid
ཉེས་པ་དུ་མ་འཐོབ་པར་བྱེད་པ	nyes pa du ma 'thob par byed pa
ཉེས་པ་བྱེད	nyes pa byed
ཉེས་པ་སྦོམ་པོ	nyes pa sbom po
ཉེས་པ་མང་ལྡན་པ	nyes pa mang ldan pa
ཉེས་པ་མང་པོའི་སྐྱོན་ཅན	nyes pa mang po'i skyon can
ཉེས་པ་གསུམ་འཇོམས	nyes pa gsum 'joms
ཉེས་པའི་སྐྱོན་བྲལ་མྱ་ངན་མེད་པའི་དཔལ	nyes pa'i skyon bral mya ngan med pa'i dpal
ཉེས་པའི་སྐྱོན་བྲལ་ཟླ་བའི་འོད	nyes pa'i skyon bral zla ba'i 'od
ཉེས་པའི་སྒྲིབ་པའི་སྒྲིབ་པ	nyes pa'i sgrib pa'i sgrib pa
ཉེས་པའི་ལྟ	nyes pa'i lta
ཉེས་པའི་བག་ཆགས	nyes pa'i bag chags
ཉེས་པའི་དམིགས	nyes pa'i dmigs
ཉེས་པའི་དམིགས་སུ་མ་བལྟས་པས	nyes pa'i dmigs su ma bltas pas
ཉེས་པའི་རིམ་བཞིན	nyes pa'i rim bzhin
ཉས་པར	nyas par
ཉེས་པར་བགྱིས་པ	nyes par bgyis pa
ཉེས་པར་འགྱུར་བ	nyes par 'gyur ba
ཉེས་པར་ཐོས་པ	nyes par thos pa
ཉེས་པར་འདོར	nyes par 'dor
ཉེས་པར་སྤྱད་པ	nyes par spyad pa
ཉེས་པར་སྤྱོད	nyes par spyod
ཉེས་⟨pa(r)⟩་སྤྱོད་པ	nyes [⟨pa(r)⟩] spyod pa
ཉེས་པར་བྱས་པ	nyes par byas pa
ཉེས་པར་བྱེད་པ	nyes par byed pa
ཉེས་པར་བྱེད་མི་ནུས	nyes par byed mi nus
ཉེས་པར་སྦྱར	nyes par sbyar
ཉེས་པར་མང་པོ་རྣམ་པར་སྤངས་པ	nyes par mang po rnam par spangs pa
ཉེས་པར་སྨྲས་པ	nyes par smras pa
ཉེས་བྱེད	nyes byed
ཉེས་ཟད	nyes zad
ཉེས་བཤད	nyes bshad
ཉེས་བསགས་ནས	nyes bsags nas
ཉེས་བསམས	nyes bsams
ཉོ་དང་བཚོང་བ	nyo dang batshong ba
ཉོ་ན	nyo na
ཉོ་བ	nyo ba
ཉོ་འཚོང་བྱེད་པ	nyo 'tshong byed pa
ཉོག་པ	nyog pa
ཉོག་མ	nyog ma
ཉོད་པ	nyod pa
ཉོན་ཉན་པ	nyon nyan pa
ཉོན་སྒྲིབ་ཀུན་བཏགས་ཀྱི་དངོས་གཉེན་དུ་གྱུར་པའི་ཉན་ཐོས་ཀྱི་བདེན་པ་མངོན་རྟོགས	nyon sgrib kun btags kyi dngos gnyen du gyur pa'i nyan thos kyi bden pa mngon rtogs
ཉོན་སྒྲིབ་ལྷན་སྐྱེས	nyon sgrib lhan skyes
ཉོན་པ	nyon pa
ཉོན་མོངས་སྐྱེས་པ	nyon mongs skyes pa
ཉོན་མོངས་ཅན་མ་ཡིན་པའི་ཡིད	nyon mongs can ma yin pa'i yid
ཉོན་མོངས་བཅོམ་པའི་⟨(phyir)⟩་དགེ་སློང	nyon mongs bcom pa'i [⟨(phyir)⟩] dge slong
ཉོན་མོངས་ཉེས་པའི་སྐྱོན	nyon mongs nyes pa'i skyon
ཉོན་མོངས་སྟོབས	nyon mongs stobs
ཉོན་མོངས་དྲ་བ	nyon mongs dra ba
ཉོན་མོངས་གདུང་བ	nyon mongs gdung ba
ཉོན་མོངས་གདུངས་སེལ་ཟླ་བའི་མཚན	nyon mongs gdungs sel zla ba'i mtshan
ཉོན་མོངས་རྡུལ་བྲལ་ཆུ་བོ་སྤོངས	nyon mongs rdul bral chu bo spongs
ཉོན་མོངས་རྡུལ་བྲལ་ཐ་བ་སྤངས	nyon mongs rdul bral tha ba spangs
ཉོན་མོངས་ནད	nyon mongs nad
ཉོན་མོངས་ནད་འཇོམས་ཙན་དན་དཔལ	nyon mongs nad 'joms tsan dan dpal
ཉོན་མོངས་ནད་སེལ་སྨན་པའི་ཞབས	nyon mongs nad sel sman pa'i zhabs
ཉོན་མོངས་པ་སྐྱེ་བ	nyon mongs pa skye ba
ཉོན་མོངས་པ་ཅན་གྱི་ཆོས	nyon mongs pa can gyi chos
ཉོན་མོངས་པ་ཅན་གྱི་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ	nyon mongs pa can gyi yid kyi rnam par shes pa
ཉོན་མོངས་པ་བཅོམ་པ	nyon mongs pa bcom pa
ཉོན་མོངས་པ་ཆེ་བ	nyon mongs pa che ba
ཉོན་མོངས་པ་ཐམས་ཅད་ཀྱི་དྲི་མ	nyon mongs pa thams cad kyi dri ma
ཉོན་མོངས་པ་དང་སྡུག་བསྔལ་གྱི་གཉེན་པོ	nyon mongs pa dang sdug bsngal gyi gnyen po
ཉོན་མོངས་པ་སྤོང་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན	nyon mongs pa spong ba zhes bya ba'i ting nge 'dzin
ཉོན་མོངས་པ་མང་བས	nyon mongs pa mang bas
ཉོན་མོངས་པ་མེད་པ་དང་ཉོན་མོངས་པ་དང་བཅས་པ་ཐམས་ཅད་ཡང་དག་པར་འདུ་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན	nyon mongs pa med pa dang nyon mongs pa dang bcas pa thams cad yang dag par 'du ba zhes bya ba'i ting nge 'dzin
ཉོན་མོངས་པ་མེད་པའི་ཏིང་ངེ་འཛིན	nyon mongs pa med pa'i ting nge 'dzin
ཉོན་མོངས་པ་མེད་པར་གནས་པ་རྣམས་ཀྱི་མཆོག	nyon mongs pa med par gnas pa rnams kyi mchog
ཉོན་མོངས་པ་མེད་པར་ཡང་དག་པར་འདུ་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན	nyon mongs pa med par yang dag par 'du ba zhes bya ba'i ting nge 'dzin
ཉོན་མོངས་པ་ལ་མི་མཇེད་པ	nyon mongs pa la mi mjed pa
ཉོན་མོངས་པ་ལྷན་ཅིག་སྐྱེས་པ་ཀུན་ཏུ་འབྱུང་བ	nyon mongs pa lhan cig skyes pa kun tu 'byung ba
ཉོན་མོངས་པ་ལྷན་ཅིག་སྐྱེས་པ་མ་ཡིན་པ་ཀུན་ཏུ་འབྱུང་བ	nyon mongs pa lhan cig skyes pa ma yin pa kun tu 'byung ba
ཉོན་མོངས་པའི་སྐོམ་པས་འཆི་བའི་དུས་བྱེད་པར་འགྱུར་ཏེ	nyon mongs pa'i skom pas 'chi ba'i dus byed par 'gyur te
ཉོན་མོངས་པའི་དགྲ	nyon mongs pa'i dgra
ཉོན་མོངས་པའི་རྒྱུད་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི	nyon mongs pa'i rgyud stong phrag brgyad cu rtsa bzhi
ཉོན་མོངས་པའི་ཆུ་ཀླུང་ཆེན་པོ་བཞི	nyon mongs pa'i chu klung chen po bzhi
ཉོན་མོངས་པའི་ཉེས་པའི་བག་ཆགས་ཐམས་ཅད་མེད་པ	nyon mongs pa'i nyes pa'i bag chags thams cad med pa
ཉོན་མོངས་པའི་གཉེན་པོ་ཉིད་ཀྱི་ཕྱིར	nyon mongs pa'i gnyen po nyid kyi phyir
ཉོན་མོངས་པའི་སྙིགས་མ	nyon mongs pa'i snyigs ma
ཉོན་མོངས་པའི་དུག	nyon mongs pa'i dug
ཉོན་མོངས་པའི་དྲི་མའི་གནོད་པ་ཐམས་ཅད་དང་བྲལ་བ	nyon mongs pa'i dri ma'i gnod pa thams cad dang bral ba
ཉོན་མོངས་པའི་བདུད	nyon mongs pa'i bdud
ཉོན་མོངས་པའི་འདམ་དུ་བྱིང་བ	nyon mongs pa'i 'dam du bying ba
ཉོན་མོངས་པའི་ནད	nyon mongs pa'i nad
ཉོན་མོངས་པའི་བག་ལ་ཉལ	nyon mongs pa'i bag la nyal
ཉོན་མོངས་པའི་རྨོངས་པ	nyon mongs pa'i rmongs pa
ཉོན་མོངས་པའི་ཤིང་བསྲེག་པའི་ཕྱིར	nyon mongs pa'i shing bsreg pa'i phyir
ཉོན་མོངས་པས་འབར་བ	nyon mongs pas 'bar ba
ཉོན་མོངས་སྤངས་པ	nyon mongs spangs pa
ཉོན་མོངས་ཕྱོགས་དང་ཟད	nyon mongs phyogs dang zad
ཉོན་མོངས་བག་ཉལ	nyon mongs bag nyal
ཉོན་མོངས་བྱུང་བའི་ནད	nyon mongs byung ba'i nad
ཉོན་མོངས་བྱེད	nyon mongs byed
ཉོན་མོངས་བྲལ་⟨(ba)⟩	nyon mongs bral [⟨(ba)⟩]
ཉོན་མོངས་དབང་གྱུར་པས	nyon mongs dbang gyur pas
ཉོན་མོངས་དབང་འགྲོ	nyon mongs dbang 'gro
ཉོན་མོངས་དབང་མེད	nyon mongs dbang med
ཉོན་མོངས་མ	nyon mongs ma
ཉོན་མོངས་མེ	nyon mongs me
ཉོན་མོངས་མེད་པའི་ལྟ་བ	nyon mongs med pa'i lta ba
ཉོན་མོངས་མེས་གདུངས	nyon mongs mes gdungs
ཉོན་མོངས་གཞོམ་པ	nyon mongs gzhom pa
ཉོན་མོངས་ཟིལ་ནོན	nyon mongs zil non
ཉོན་མོངས་བཟོད	nyon mongs bzod
ཉོན་མོངས་བཟོད་པ	nyon mongs bzod pa
ཉོན་མོངས་ཤེས་བྱ	nyon mongs shes bya
ཉོན་རྨོངས	nyon rmongs
ཉོན་⟨(shig)⟩	nyon [⟨(shig)⟩]
ཉོལ་ཉལ་བ	nyol nyal ba
ཉོས་ཉོ་བ	nyos nyo ba
ཉོས་པ	nyos pa
ཉོས་ལ	nyos la
གཉན་སྒྲོལ་ཡན་ལག་དྲུག་པ	gnyan sgrol yan lag drug pa
གཉན་པ	gnyan pa
གཉན་ཡོད་⟨(mnyan⟩་⟨yod)⟩	gnyan yod [⟨(mnyan⟩] [⟨yod)⟩]
གཉན་ལུགས་སྒྲོལ་དཀར	gnyan lugs sgrol dkar
གཉའ	gnya'
གཉའ་གོང	gnya' gong
མི་ན་བར་⟨~~du⟩་བསྣོལ་བ་ལ་ཆོས་མི་བཤད	mi na bar [⟨~~du⟩] bsnol ba la chos mi bshad
གཉའ་གོང་དུ་མི་བསྣོལ	gnya' gong du mi bsnol
གཉའ་དྲག	gnya' drag
གཉའ་བ	gnya' ba
གཉའ་བ་སྤྲད་དེ	gnya' ba sprad de
གཉའ་རེངས་པ	gnya' rengs pa
གཉའ་ཤིང	gnya' shing
གཉའ་ཤིང་གང་དུ་བལྟ་བ	gnya' shing gang du blta ba
གཉའ་ཤིང་གང་ཙམ་དུ་བལྟ་བ་⟨(lta⟩་⟨ba)⟩	gnya' shing gang tsam du blta ba [⟨(lta⟩] [⟨ba)⟩]
གཉི	gnyi
གང་ཚེ་བདག་དང་གཞན་⟨~~⟩་བདེ་བ་འདོད་དུ་མཚུངས་པ་ལ	gang tshe bdag dang gzhan [⟨~~⟩] bde ba 'dod du mtshungs pa la
གཉི་ག་བསྒྲིབས་པ	gnyi ga bsgribs pa
གཉི་ག་དང་ལྡན་པ	gnyi ga dang ldan pa
གཉི་ག་ལྡོག་པ་ལ་ཐེ་ཚོམ་ཟ་བ	gnyi ga ldog pa la the tshom za ba
གཉི་ག་ལྡོག་པར་མེད་པ	gnyi ga ldog par med pa
གཉི་ག་མ་གྲུབ་པ	gnyi ga ma grub pa
གཉི་ག་མ་ཡིན་པའི་ཚིག	gnyi ga ma yin pa'i tshig
གཉི་ག་མེད་པ་ལ	gnyi ga med pa la
གཉི་ག་ལ	gnyi ga la
གཉི་ག་ལ་མ་གྲུབ་པ	gnyi ga la ma grub pa
གཉི་ག་ལས་ལྡོག་པ	gnyi ga las ldog pa
གཉི་ག་ལས་ལྡོག་པ་ལ་ཐེ་ཚོམ་ཟ་བ	gnyi ga las ldog pa la the tshom za ba
གཉི་གའི་ལྡོག་པ་ཅན	gnyi ga'i ldog pa can
གཉི་གའི་ཚིག	gnyi ga'i tshig
གཉི་གར་ཉེས་པར་འགྱུར་བ	gnyi gar nyes par 'gyur ba
གཉི་⟨gdug(s)⟩་སྙིང་པོ	gnyi [⟨gdug(s)⟩] snying po
⟨(g)nyi⟩་⟨(ma)⟩	[⟨(g)nyi⟩] [⟨(ma)⟩]
གཉི་བཤེས	gnyi bshes
གཉིག་ཏུ	gnyig tu
གཉིད་རྙིད་པ	gnyid rnyid pa
གཉིད་ཀྱི་ལོག་པ	gnyid kyi log pa
གཉིད་ཀྱིས་ནོན་པའི་མིག	gnyid kyis non pa'i mig
གཉིད་ཀྱིས་ལོག	gnyid kyis log
གཉིད་ཀྱིས་ལོག་ལས་སད	gnyid kyis log las sad
གཉིད་དཀྱིལ་ན	gnyid dkyil na
གཉིད་ཅན	gnyid can
གཉིད་ཆག	gnyid chag
གཉིད་དང་རྨུགས་པ	gnyid dang rmugs pa
གཉིད་མ་བྱུང་བ	gnyid ma byung ba
གཉིད་མེད་པ	gnyid med pa
གཉིད་མོ	gnyid mo
གཉིད་ལ་བརྟན་པ	gnyid la brtan pa
གཉིད་ལོག་པ་སེམས་མེད་པ	gnyid log pa sems med pa
གཉིད་སད	gnyid sad
གཉིད་སད་པ	gnyid sad pa
གཉིད་སད་པར་འགྱུར	gnyid sad par 'gyur
ཁྱོད་དང་འདི་གཉིས་སོ་སོ་⟨na(s)⟩	khyod dang 'di gnyis so so [⟨na(s)⟩]
བདག་ཅག་གཉིས	bdag cag gnyis
འདི་གཉིས་ཀྱི་ནི་ཁྱད་པར་ལྟོས	'di gnyis kyi ni khyad par ltos
ལུས་ཅན་རྣམས་ལ་སེམས་ཡོད་དང་སེམས་མེད་གཉིས་ཀས་གནོད་བྱེད་ན	lus can rnams la sems yod dang sems med gnyis kas gnod byed na
གཉིས་ཀ་བརྟག་པ	gnyis ka brtag pa
གཉིས་ཀ་ལྡོག་པ་མེད་པ	gnyis ka ldog pa med pa
གཉིས་ཀ་མ་གྲུབ་པ	gnyis ka ma grub pa
གཉིས་ཀ་མ་ལགས་པ	gnyis ka ma lags pa
གཉིས་ཀ་རབ་ཏུ་གྲགས་པ་མ་ཡིན་པ	gnyis ka rab tu grags pa ma yin pa
གཉིས་ཀ་ལ	gnyis ka la
གཉིས་ཀ་ལ་མ་གྲུབ་པ	gnyis ka la ma grub pa
གཉིས་ཀའི་ཆ་ལས་རྣམ་པར་གྲོལ་བ	gnyis ka'i cha las rnam par grol ba
གཉིས་ཀའི་ཆའི་ཏིང་ངེ་འཛིན	gnyis ka'i cha'i ting nge 'dzin
གཉིས་ཀའི་ཆོས་མ་གྲུབ་པ	gnyis ka'i chos ma grub pa
གཉིས་ཀའི་དོན	gnyis ka'i don
གཉིས་ཀའི་ཕྱོགས་གཅིག་གི་ཡུལ་ལ་ཡོད་པ	gnyis ka'i phyogs gcig gi yul la yod pa
གཉིས་ཀའི་བཤད་སྦྱར	gnyis ka'i bshad sbyar
གཉིས་ཀྱི་གཉིས་སྤྲད་པ	gnyis kyi gnyis sprad pa
གཉིས་ཀྱི་མཐའ	gnyis kyi mtha'
གཉིས་ཀྱིས་གཉིས་སྤྲད་པ	gnyis kyis gnyis sprad pa
གཉིས་ཀྱིས་གཉིས་ཕྲད་པར་བྱ་བ	gnyis kyis gnyis phrad par bya ba
གཉིས་ཀྱིས་མཐའ་བརྗོད	gnyis kyis mtha' brjod
གཉིས་དགའི་ཁྱིམ	gnyis dga'i khyim
གཉིས་ཆ	gnyis cha
གཉིས་གཉིས་སྤྱོད	gnyis gnyis spyod
གཉིས་སྟོང་རྟོགས་པའི་རྣལ་འབྱོར་གྱི་ས	gnyis stong rtogs pa'i rnal 'byor gyi sa
གཉིས་འཐུང	gnyis 'thung
གཉིས་ལྡན	gnyis ldan
གཉིས་ལྡན་དུས	gnyis ldan dus
གཉིས་པ་ཅན	gnyis pa can
གཉིས་པ་མེད་པ	gnyis pa med pa
གཉིས་པ་ས	gnyis pa sa
གཉིས་པོ་རྒྱུ་བ	gnyis po rgyu ba
གཉིས་མེད་ཀྱི་རྩ་བསྒོམ་པའི་རིམ་པ	gnyis med kyi rtsa bsgom pa'i rim pa
གཉིས་མེད་གྲུབ་པ	gnyis med grub pa
གཉིས་མེད་རྣམ་རྒྱལ་ཆུང་བ	gnyis med rnam rgyal chung ba
