# pyewts.toWylie reference fixtures (OpenPecha/pyewts master, Apache-2.0)
# inputs: hgm_dictionary_v27_2 tibetan column + strided 84000 TM native unicode
ཀ	ka
ཀུན་ཏུ་ཚིམ་པ་སྐྱེ	kun tu tshim pa skye
ཀུན་ཏུ་འཛིན་པ	kun tu 'dzin pa
ཀུན་ཏུ་ཞུམ	kun tu zhum
ཀུན་ཏུ་ཞུམ་པ	kun tu zhum pa
ཀུན་ཏུ་ཞུམ་པར་འགྱུར	kun tu zhum par 'gyur
ཀུན་ཏུ་ཟླུམ་པོ	kun tu zlum po
ཀུན་ཏུ་བཟང	kun tu bzang
ཀུན་ཏུ་བཟང་པོ	kun tu bzang po
ཀུན་ཏུ་བཟང་པོ། ཀུན་བཟང	kun tu bzang po/_kun bzang
ཀུན་ཏུ་བཟང་མོ	kun tu bzang mo
ཀུན་ཏུ་བཟོད	kun tu bzod
ཀུན་ཏུ་འོད	kun tu 'od
ཀུན་ཏུ་ཤེས	kun tu shes
ཀུན་ཏུ་ཤེས་པ	kun tu shes pa
ཀུན་ཏུ་ཤེས་པར་བྱ་བ	kun tu shes par bya ba
ཀུན་ཏུ་ཤེས་པར་བྱེད	kun tu shes par byed
ཀུན་ཏུ་སོང། ཀུན་སོང། ཀུན་ཏུ་སོང་བ	kun tu song/_kun song/_kun tu song ba
ཀུན་ཏུ་གསོག	kun tu gsog
ཀུན་ཏུ་གསོགས	kun tu gsogs
ཀུན་ཏུ་བསག	kun tu bsag
ཀུན་ཏུ་བསགས	kun tu bsags
ཀུན་ཏུ་བསགས་པ	kun tu bsags pa
ཀུན་ཏུ་བསྲུང་བར་བྱེད་པ	kun tu bsrung bar byed pa
ཀུན་གཏོང	kun gtong
ཀུན་གཏོང་བ	kun gtong ba
ཀུན་བཏགས	kun btags
ཀུན་བཏགས་ཀྱི་ངོ་བོ་ཉིད	kun btags kyi ngo bo nyid
ཀུན་བཏགས་ཀྱི་མཚན་ཉིད	kun btags kyi mtshan nyid
ཀུན་བཏགས་ཀྱི་རང་བཞིན། ཀུན་བཏགས་ཀྱི་ངོ་བོ་ཉིད	kun btags kyi rang bzhin/_kun btags kyi ngo bo nyid
ཀུན་བཏགས་བདེན་མེད་ཡིན་པས་དེ་འདྲའི་དོགས་པ་སྐྱེ་དོན་མེད	kun btags bden med yin pas de 'dra'i dogs pa skye don med
ཀུན་བཏགས་པའི་ཆོས	kun btags pa'i chos
ཀུན་བཏགས་པའི་མ་རིག་པ	kun btags pa'i ma rig pa
ཀུན་བཏགས་པའི་མཚན་ཉིད	kun btags pa'i mtshan nyid
ཀུན་བཏགས་པའི་རང་བཞིན	kun btags pa'i rang bzhin
ཀུན་བཏགས་སྤང་བྱ	kun btags spang bya
ཀུན་བཏུས	kun btus
ཀུན་རྟོགས་པ	kun rtogs pa
ཀུན་རྟོག། ཀུན་ཏུ་རྟོག་པ	kun rtog/_kun tu rtog pa
ཀུན་བརྟགས	kun brtags
ཀུན་བརྟགས་ཀྱི་མིག་ངོས་འཛིན་སྐབས	kun brtags kyi mig ngos 'dzin skabs
ཀུན་བརྟགས་པ	kun brtags pa
ཀུན་བརྟགས་པ་ལ་སོགས་པའི་ངོ་བོ་ཉིད་གསུམ	kun brtags pa la sogs pa'i ngo bo nyid gsum
ཀུན་བརྟགས་པའི་གང་ཟག་མེད་པ	kun brtags pa'i gang zag med pa
ཀུན་བརྟགས་པའི་ངོ་བོ་ཉིད	kun brtags pa'i ngo bo nyid
ཀུན་བརྟགས་པའི་ཆོས་ཐམས་ཅད	kun brtags pa'i chos thams cad
ཀུན་བརྟགས་པའི་ཆོས་མེད་པ	kun brtags pa'i chos med pa
ཀུན་བརྟགས་པའི་བདག་མེད	kun brtags pa'i bdag med
ཀུན་བརྟགས་པའི་མཚན་ཉིད	kun brtags pa'i mtshan nyid
ཀུན་བརྟགས་པའི་མཚན་ཉིད་ཀྱི་གནས	kun brtags pa'i mtshan nyid kyi gnas
ཀུན་བརྟགས་པའི་གཟུགས	kun brtags pa'i gzugs
ཀུན་ད	kun da
ཀུན་དུ	kun du
ཀུན་འདུས	kun 'dus
ཀུན་འདུས་པ	kun 'dus pa
ཀུན་འདྲི	kun 'dri
ཀུན་བསྡུམས་པ	kun bsdums pa
ཀུན་བསྡུས་པ	kun bsdus pa
ཀུན་ནས	kun nas
ཀུན་ནས་དཀྲིས་པ། ཀུན་དཀྲིས	kun nas dkris pa/_kun dkris
ཀུན་ནས་ཉོན་མོངས་ཀྱི་ཆོས	kun nas nyon mongs kyi chos
ཀུན་ནས་ཉོན་མོངས་ཀྱི་དམིགས་པ	kun nas nyon mongs kyi dmigs pa
ཀུན་ནས་ཉོན་མོངས་ཅན། ཀུན་ནས་ཉོན་མོངས་པ་ཅན	kun nas nyon mongs can/_kun nas nyon mongs pa can
ཀུན་ནས་ཉོན་མོངས་གཉེན་པོ	kun nas nyon mongs gnyen po
ཀུན་ནས་ཉོན་མོངས་དང་རྣམ་བྱང	kun nas nyon mongs dang rnam byang
ཀུན་ནས་ཉོན་མོངས་དང་རྣམ་བྱང་གཉིས	kun nas nyon mongs dang rnam byang gnyis
ཀུན་ནས་ཉོན་མོངས་རྣམ་བྱང	kun nas nyon mongs rnam byang
ཀུན་ནས་ཉོན་མོངས་པ་ཅན། ཀུན་ནས་ཉོན་མོངས་ཅན	kun nas nyon mongs pa can/_kun nas nyon mongs can
ཀུན་ནས་ཉོན་མོངས་པ་རྗེས་སུ་བསྲུང་བ	kun nas nyon mongs pa rjes su bsrung ba
ཀུན་ནས་ཉོན་མོངས་པ་བསྟན་པ	kun nas nyon mongs pa bstan pa
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་དག་པ་མ་ཡིན་པའི་དོན	kun nas nyon mongs pa dang rnam par dag pa ma yin pa'i don
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ	kun nas nyon mongs pa dang rnam par byang ba
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཐ་དད་པར་ང་རྒྱལ་མེད་པ	kun nas nyon mongs pa dang rnam par byang ba tha dad par nga rgyal med pa
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་དག	kun nas nyon mongs pa dang rnam par byang ba dag
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་མི་ལྟ་བ	kun nas nyon mongs pa dang rnam par byang ba mi lta ba
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཡང་དག་པར་སྟོན་པ	kun nas nyon mongs pa dang rnam par byang ba yang dag par ston pa
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བ་ཡོངས་སུ་ཚོལ་བ	kun nas nyon mongs pa dang rnam par byang ba yongs su tshol ba
ཀུན་ནས་ཉོན་མོངས་པ་དང་རྣམ་པར་བྱང་བའི་མཚན་ཉིད	kun nas nyon mongs pa dang rnam par byang ba'i mtshan nyid
ཀུན་ནས་ཉོན་མོངས་པ་སྤང་བར་བྱ་བ	kun nas nyon mongs pa spang bar bya ba
ཀུན་ནས་ཉོན་མོངས་པ་སྤངས་པ	kun nas nyon mongs pa spangs pa
ཀུན་ནས་ཉོན་མོངས་པ་མ་ཡིན་པ	kun nas nyon mongs pa ma yin pa
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པ	kun nas nyon mongs pa med pa
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པའི་ཡན་ལག	kun nas nyon mongs pa med pa'i yan lag
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་སྒྲུབ་པའི་རྣམ་པ	kun nas nyon mongs pa med par sgrub pa'i rnam pa
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་མོས་པ	kun nas nyon mongs pa med par mos pa
ཀུན་ནས་ཉོན་མོངས་པ་མེད་པར་ཡོངས་སུ་ལོངས་སྤྱོད་པ	kun nas nyon mongs pa med par yongs su longs spyod pa
ཀུན་ནས་ཉོན་མོངས་པ་ཡང་མེད	kun nas nyon mongs pa yang med
ཀུན་ནས་ཉོན་མོངས་པ་ལས་ལྡོག་པས	kun nas nyon mongs pa las ldog pas
ཀུན་ནས་ཉོན་མོངས་པ་བསལ	kun nas nyon mongs pa bsal
ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ	kun nas nyon mongs pa'i rgyu
ཀུན་ནས་ཉོན་མོངས་པའི་ཆོས	kun nas nyon mongs pa'i chos
ཀུན་ནས་ཉོན་མོངས་པའི་ནད་ཀྱི་གཉེན་པོ	kun nas nyon mongs pa'i nad kyi gnyen po
ཀུན་ནས་ཉོན་མོངས་པའི་ཕྱོགས	kun nas nyon mongs pa'i phyogs
ཀུན་ནས་ཉོན་མོངས་པའི་ཕྱོགས་འགག་པ	kun nas nyon mongs pa'i phyogs 'gag pa
ཀུན་ནས་ཉོན་མོངས་པའི་མཚན་ཉིད	kun nas nyon mongs pa'i mtshan nyid
ཀུན་ནས་ཉོན་མོངས་པར་འགྱུར་པ	kun nas nyon mongs par 'gyur pa
ཀུན་ནས་ཉོན་མོངས་པ། ཀུན་ནས་ཉོན་མོངས	kun nas nyon mongs pa/_kun nas nyon mongs
ཀུན་ནས་ཉོན་མོངས་མེད་རྣམ་དག	kun nas nyon mongs med rnam dag
ཀུན་ནས་ཉོན་མོངས་གཟུང་རྟོག	kun nas nyon mongs gzung rtog
ཀུན་ནས་ཉོན་མོངས་ཤིན་ཏུ་གྲོལ	kun nas nyon mongs shin tu grol
ཀུན་ནས་ཉོན་མོངས། ཀུན་ནས་ཉོན་མོངས་པ	kun nas nyon mongs/_kun nas nyon mongs pa
ཀུན་ནས་ལྡང་བ	kun nas ldang ba
ཀུན་ནས་མནར	kun nas mnar
ཀུན་ནས་མནར་སེམས་ཀྱི་སེམས	kun nas mnar sems kyi sems
ཀུན་ནས་མནར་སེམས་བྱེད་དེ	kun nas mnar sems byed de
ཀུན་ནས་སྣང་བ	kun nas snang ba
ཀུན་ནས་བྱུང་བ་མ་མཆིས་པ	kun nas byung ba ma mchis pa
ཀུན་ནས་མི་ལྡང་བ	kun nas mi ldang ba
ཀུན་ནས་མཛེས་པ	kun nas mdzes pa
ཀུན་ནས་ཞི	kun nas zhi
ཀུན་ནས་ལངས་པ་ཉིད་ལས་བྱུང་བ	kun nas langs pa nyid las byung ba
ཀུན་ནས་སློང	kun nas slong
ཀུན་ནས་སློང་བ་དང་མི་ལྡན་པ	kun nas slong ba dang mi ldan pa
ཀུན་ནས་སློང་བ་པོ	kun nas slong ba po
ཀུན་ནས་སློང་བ་མེད་པ་གཏོགས་པ	kun nas slong ba med pa gtogs pa
ཀུན་ནས་སློང་བའི་ཐབས	kun nas slong ba'i thabs
ཀུན་ནས་སློང་བར་མི་བགྱིད་པ	kun nas slong bar mi bgyid pa
ཀུན་ནས་སློང་བ། ཀུན་སློང	kun nas slong ba/_kun slong
ཀུན་ནས་བསླང་བ	kun nas bslang ba
ཀུན་སྤྱོད	kun spyod
ཀུན་སྤྱོད་གཙང་བའི་དཔེ་བྱད	kun spyod gtsang ba'i dpe byad
