# Chandra Das headword -> pdf page (das_1902_bookmarked.pdf)
# SOURCE: Christian Steinert's ChandraDas_Scan index —
# permission granted by email 2026-08-13 ('feel free to
# use the Chandra Das headword index for your own needs')
# with his caveat: interpolated positions, terms may sit a
# page away. '?' rows are his own uncertainty marks,
# preserved as certain=0. printed->pdf offset +40
# (312-sample majority vote vs our section map).
# wylie	pdf_page	certain
ka	41	1
ka ka	42	1
ka ka ni	42	0
ka ka rang	42	0
ka ka ri	42	0
ka ki ni	42	0
ka ku sta	42	0
ka ku bha ya	43	1
ka ku b+ha ya	43	1
ka ke ri ya	43	0
ka ko	43	0
ka ko la	43	0
ka kha	43	0
ka kha pa	43	0
ka khol ma	43	0
ka mgo	43	0
ka ca	43	0
ka can	43	0
ka ci	43	0
ka ci skyem ras	43	0
ka ci li	43	0
ka gcig sgo gcig	43	0
ka lci	43	0
ka lcog	43	0
ka cha	43	0
ka chug	43	0
ka ta	43	0
ka ta ka	43	0
ka ta ma ka	44	1
ka ta ya	44	0
ka ta ya na nog can	44	0
ka ta ra	44	0
ka ta ru	44	0
ka tan	44	0
ka tam bha	44	0
ka ta'i bu	44	0
ka ta'i bu mo	44	0
ka to ra	44	0
ka t+ya'i bu	44	0
ka tya'i bu	44	0
ka Ta ki	44	0
ka Tu ka	44	0
ka To ra	44	0
ka tha ra	44	0
ka thi shi	44	0
ka the	44	0
ka tho	44	0
ka thog	44	0
ka da ru ha	44	0
ka dag	44	0
ka dam pa	44	0
ka dam pa can	44	0
ka sde	44	0
ka na ka	44	0
ka na ka warma	45	1
ka na tsa	45	0
ka na tsa na	45	0
ka na ya	45	0
ka ni ka	45	0
ka Na ya	45	0
ka gnam	45	0
ka pa	45	0
ka pa la	45	0
ka pi	45	0
ka pi ka tsha	45	0
ka pi da	45	0
ka pi na	45	0
ka pi la mu ni	46	1
ka ping tha	46	0
ka pin da	46	0
ka pu ta	46	0
ka ped	46	0
ka dpe	46	0
ka pha	46	0
ka phreng	46	0
ka 'phan	46	0
ka ba	46	0
ka ba bzang po	46	0
ka ba'i sbyar bkod	46	0
ka bi ta	46	0
ka bi ta la	46	0
ka bu lo	46	0
ka bed	46	0
ka bel	46	0
ka bo ka	46	0
ka ma cha	48	1
ka ma ta	48	0
ka ma rtsi	48	0
ka ma ru	48	0
ka ma la	48	0
ka ma la shI la	48	0
ka ma li	48	0
ka mang ma	48	0
ka mig	48	0
ka mu la rdo rgyad	48	0
ka med	48	0
ka smad sum cu	48	0
ka tsa rked nyag	48	0
ka tsa ru tsa ka	48	0
ka tsa lin di	48	0
ka tsang ka la	48	0
ka tsi li ban	49	1
ka rtsa ga la	49	0
ka rtsam	49	0
ka rtse	49	0
ka rtsom	49	0
ka tshal	49	0
ka tshigs chen po	49	0
ka gzhu	49	0
ka ya	49	0
ka ya go'u ri	49	0
ka yang rtse	49	0
ka ra	49	0
ka ra da	49	0
ka ra na jus	49	0
ka ra na rus	49	0
ka ra nang	49	0
ka ra bi ra	49	0
ka ra ru be ka	50	1
ka ra ha ri	50	0
ka rany dza	50	0
ka ranya dza	50	0
ka ran da ba	50	0
ka ran Da	50	0
ka ras	50	0
ka ri'i bu mo	50	0
ka ru	50	0
ka re	50	0
ka la ta	50	0
ka la ping ka	50	0
ka la bu	50	0
ka la ro zan	50	0
ka la sha	50	0
ka lag	50	0
ka lan ta ka	50	0
ka lan da ka	51	1
ka lan dza ri ka	51	0
ka lam ka	51	0
ka lam ba	51	0
ka lA pa	51	0
ka li	51	0
ka li ka	51	0
ka ling ga	51	0
ka le	51	0
ka sha	51	0
ka shi ka	51	0
ka shi ka phra mo	51	0
ka shi ru	51	0
ka shis	51	0
ka shubs	51	0
ka sa	51	0
ka san ka ra	51	0
ka ha na ya na shi la	52	1
karka ta	52	0
karke ta	52	0
kag	52	0
kag ka ba	52	0
kang ka	52	0
kang ka ra	52	0
kang dang king	52	0
kad	52	0
kan	52	0
kan ni ka	52	0
kan ma	52	0
kan tsi	52	0
kaN Ta kA ri	52	0
kalpa	52	0
kab kob	53	1
kab sha	53	0
kam bi la	53	0
kam bo dza	53	0
kam bo dzi ka	53	0
kaM ka	53	0
karma	53	0
ka'u	53	0
ka'u his	53	0
kar	53	0
kar skyin	53	0
kar rgyal	53	0
kar rgyud	53	0
kar chag	53	0
kar ni ka	53	0
kar smug	54	1
kar yol	54	0
kar lang ba	54	0
kar langs pa	54	0
kar sha pa ni	54	0
kar shubs	54	0
kar sa	54	0
kar sog	54	0
kSa ya	54	0
kA ka	54	0
kA khi la	54	0
kA ta ka	54	0
kA tya bu mo	54	0
kA pa li	55	1
kA be ri	55	0
kA tsi kA	55	0
kA ri kA	55	0
kA la ko	55	0
kA la sngo bsang	55	0
kA li	55	0
kA sha	55	0
ki	55	0
ki kang	55	0
ki ki	55	0
ki gu	55	0
ki rgyung	55	0
ki ta ka	55	0
ki ldir	55	0
ki pa	55	0
ki ma	56	1
ki tsi	56	0
ki ri kan	56	0
ki la ki la	56	0
king ka ra	56	0
king shu ka	56	0
kim pa	56	0
kim pa ka	56	0
kim pa la	56	0
ki'u	56	0
kil	56	0
kI ri ta ka	56	0
kI sha'i 'dab	56	0
ku	56	0
ku ku	56	0
ku ku sgrogs	56	0
ku ku ra tsa	56	0
ku kur ta pA dA	57	1
ku ke	57	0
ku co	57	0
ku cor	57	0
ku ther	57	0
ku deng nge	57	0
ku Na la	57	0
ku ba	57	0
ku ba la me tog	57	0
ku ba'i gzings	57	0
ku be ra	57	0
ku byi mang ke	57	0
ku ma ra	57	0
ku mud	57	0
ku mud grogs	57	0
ku mud dgra	57	0
ku mud can	57	0
ku mud gnyen	57	0
ku mud ldan	57	0
ku mud tshal	57	0
ku mud lo ma	57	0
ku dza	58	1
ku ya	58	0
ku ra	58	0
ku ra ba ka	58	0
ku ra ra	58	0
ku rang ga	58	0
ku ru	58	0
ku ru kul le	58	0
ku ru pin da	58	0
ku ru ban da	58	0
ku re	58	0
ku la	58	0
ku la kA	58	0
ku lan ta	58	0
ku lA la	58	0
ku lu ta	58	0
ku sha	58	0
ku sha na	59	1
ku sha ban d+ha	59	0
ku sha ban dha	59	0
ku sha la	59	0
ku sha li	59	0
ku sha'i grong khyer	59	0
ku shu	59	0
ku shu lu	59	0
ku shu'i khams	59	0
ku she sha ya	59	0
ku sa ra	59	0
ku sa li b+ha dra	59	0
ku sa li bha dra	59	0
ku su ma	59	0
ku su li	59	0
ku su lu pa	59	0
ku se rdzong	60	0
ku bswo	60	0
ku hu	60	0
ku hrang	60	0
kug	60	0
kug kug	60	0
kug kug byed pa	60	0
kug rtse	60	0
kung ku na	60	0
kung ku ma	60	0
kunya dza ra	60	0
kun	61	1
kun dkyil	61	0
kun dkris	61	0
kun bkram	61	0
kun skye	61	0
kun skyed byed	61	0
kun skyo ba	61	0
kun skyod	61	0
kun skyob gling	61	0
kun khebs	61	0
kun khyab	61	0
kun khyab dpal mo	61	0
kun mkhyen	61	0
kun mkhyen kun gzigs	61	0
kun mkhyen klong chen	61	0
kun mkhyen chos sku 'od zer	61	0
kun mkhyen nyi ma'i gnyen	61	0
kun mkhyen dbyig gnyen	61	0
kun 'khor	61	0
kun 'khyams	61	0
kun 'khrugs	61	0
kun 'khrul	61	0
kun gyi mtha'	61	0
kun gyi gnas	61	0
kun gyi rtsa ba	61	0
kun gyis bkur ba	62	1
kun gyis phyag byas	62	0
kun grub	62	0
kun gling	62	0
kun dga'	62	0
kun dga' rgyal mtshan dpal bzang po	62	0
kun dga' snying po	62	0
kun dga' nor	62	0
kun dga' ba 'dzin pa	62	0
kun dga' bo	62	0
kun dga' 'bar	62	0
kun dga' 'dzin pa	62	0
kun dga' gzhon nu	62	0
kun dga' ra ba	62	0
kun dga'i dbang mo	62	0
kun mgyogs	62	0
kun 'gebs	62	0
kun 'gog	62	0
kun 'gro	62	0
kun 'gro 'bad	62	0
kun 'gro'i srol	62	0
kun cings	62	0
kun bcom	63	1
kun chub	63	0
kun chos gtsang ba	63	0
kun mchog ldan	63	0
kun 'jug	63	0
kun 'jug pa	63	0
kun 'jug pho nya	63	0
kun 'joms	63	0
kun 'joms mchog	63	0
kun snying	63	0
kun ta	63	0
kun tu	63	0
kun tu bskyed	63	0
kun tu 'khyams	63	0
kun tu 'khrugs	63	0
kun tu gas	63	0
kun tu go ba	63	0
kun tu dga' bar gyur ba'i gling	63	0
kun tu 'gengs pa	63	0
kun tu 'gyed pa	63	0
kun tu 'gro	63	0
kun tu rgyas par byed pa	64	1
kun tu bsgribs	64	0
kun tu bcug pa	64	0
kun tu chags pa	64	0
kun tu 'jug pa sgrol	64	0
kun tu 'jug byed	64	0
kun tu 'jug bral	64	0
kun tu bsten	64	0
kun tu 'thor	64	0
kun tu dor	64	0
kun tu bde ba	64	0
kun tu 'dres pa	64	0
kun tu brdung ba	64	0
kun tu gnas	64	0
kun tu gnod par gyur pa	64	0
kun tu snang ba	64	0
kun tu spyad	64	0
kun tu spyod pa	64	0
kun tu spras	64	0
kun tu sbyor ba	64	0
kun tu mig ldan	64	0
kun tu rmongs	65	1
kun tu rmongs byed kyi mda'	65	0
kun tu 'dzin ma	65	0
kun tu gzigs	65	0
kun tu bzang po	65	0
kun tu bzang mo	65	0
kun tu 'ur 'ur	65	0
kun tu 'o ma	65	0
kun tu 'od	65	0
kun tu rab tu 'khrugs	65	0
kun tu rab tu 'gul	65	0
kun tu rab tu chem chem	65	0
kun tu rab tu g.yos	65	0
kun tu rig	65	0
kun tu ru	65	0
kun tu gsal	65	0
kun tu gsung	65	0
kun tu gso	65	0
kun gtum	65	0
kun btus	65	0
kun rtog	65	0
kun brtags	66	1
kun brtags pa'i mtshan nyid	66	0
kun brtan	66	0
kun bsten	66	0
kun thi ra	66	0
kun mthong gi mtsho	66	0
kun da	70	1
kun da byang sems	70	0
kun dang 'khon pa	70	0
kun dang mthun pa	70	0
kun du ru	70	0
kun du la	70	0
kun dong	70	0
kun don	70	0
kun dril ba	70	0
kun gdung	70	0
kun bdag	70	0
kun 'dar	70	0
kun 'dren	70	0
kun brdung	70	0
kun nas	70	0
kun nas dkrigs pa	70	0
kun nas skye	70	0
kun nas 'khums	70	0
kun nas 'gegs	70	0
kun nas 'gro	70	0
kun nas rgod	70	0
kun nas sgo'i le'u zhes pa'i mdo	70	0
kun nas sgrib par byed	70	0
kun nas nyon mongs pa	67	1
kun nas snyems	67	0
kun nas btags pa	67	0
kun nas btus pa	67	0
kun nas 'dud pa	67	0
kun nas ldang ba	67	0
kun nas sdud pa	67	0
kun nas snang ba	67	0
kun nas 'phags pa	67	0
kun nas bris	67	0
kun nas blangs	67	0
kun nas 'bar	67	0
kun nas sbyor ba	67	0
kun nas brtsegs pa	67	0
kun nas mdzes	67	0
kun nas bzang	67	0
kun nas bzod pa	67	0
kun nas yongs su bskor ba	67	0
kun snang 'bar ba	67	0
kun spangs	67	0
kun spangs chen po	67	0
kun spyad	67	0
kun spyod ngan pa	68	1
kun spyod mtshungs ma	68	0
kun phan bdud rtsi dbang po	68	0
kun bor	68	0
kun byed rgyal po	68	0
kun 'byung	68	0
kun sbyor	68	0
kun mos dri bzang bzhon pa can	68	0
kun rmongs	68	0
kun 'dzin	68	0
kun rdzob bden pa	68	0
kun gzhi	68	0
kun za me tog	68	0
kun gzigs	68	0
kun bzang	68	0
kun bzang 'khor lo	68	0
kun bzang gling	68	0
kun bzang rnam gsum	68	0
kun bzod	68	0
kun rig	69	1
kun la	69	0
kun la bkra shis dbang ldan ma	69	0
kun la khyab byed ser po	69	0
kun la 'jug	69	0
kun la bde	69	0
kun la phan	69	0
kun la 'phrod	69	0
kun la btses pa	69	0
kun la reg	69	0
kun las	69	0
kun las btus pa	69	0
kun shes pa	69	0
kun shes pa'i sho gam pa	69	0
kun bshad pa	69	0
kun sems	69	0
kun slong	69	0
kun slong chen po	69	0
kun gsal	69	0
kun gsod	69	0
kum pa	69	0
kum po	69	0
kum bi ra	69	0
kum bha	69	0
kum b+ha	69	0
ku'i	69	0
ku'i tsang	69	0
ku'i shin	69	0
kur ti	69	0
kul kar	69	0
ke	69	0
ke ka	69	0
ke kA pi no	69	0
ke ke ru	69	0
ke rgyung	69	0
ke ta ka	69	0
ke ta ra	71	1
ke tu	71	0
ke ne'i bu	71	0
ke byed	71	0
ke rtse ba	71	0
ke tshegs	71	0
ke ya	71	0
ke ru	71	0
ke re	71	0
ke la	71	0
ke la ka	71	0
ke la sha	71	0
ke lan	71	0
ke le	71	0
ke sha	71	0
ke sha ra	71	0
ke shu ka	72	1
ke sa ra	72	0
keg	72	0
keg ma	72	0
keng rus	72	0
keng shu ka	72	0
ke'u	72	0
ke'u rtse	72	0
ke'u tshang	72	0
ke'u ri	72	0
ke'u li	72	0
ke'u le	72	0
ke'u sha ya	72	0
ker ko	72	0
ker gyis	72	0
ker ba	72	0
ker langs	72	0
ker leb sgur	72	0
kel mag	72	0
kai ne ya	72	0
kai la sha	72	0
ko	72	1
ko ka	74	1
ko ka li ka	74	0
ko ki	74	0
ko ki la	74	0
ko ki lak+Sha	74	0
ko ko	74	0
ko kya	74	0
ko krad	74	0
ko sko	74	0
ko khug	74	0
ko khrol	74	0
ko gru	74	0
ko nyon tse	74	0
ko tan	74	0
ko tam pa	74	0
ko tam pa'i ras	74	0
ko tam bhag	74	0
ko tra pa	74	0
ko trog can	74	0
ko btum	74	0
ko tha	74	0
ko thag	73	1
ko thal	75	1
ko thud	75	0
ko thums	75	0
ko 'thags	75	0
ko dA la	75	0
ko gdan	75	0
ko mda'	75	0
ko lding	75	0
ko pang tse	75	0
ko lpags	75	0
ko lpags mkhan	75	0
ko spyin	75	0
ko phongs	75	0
ko phor	75	0
ko ba	75	0
ko ba mkhan	75	0
ko ba mnyed mkhan	75	0
ko ba brag	75	0
ko bi da ra	75	0
ko bubs	75	0
ko bo	75	0
ko brag pa	75	0
ko 'bugs	75	0
ko 'bo	75	0
ko sbrags	75	0
ko ma	75	0
ko tse	75	0
ko tshal	75	0
ko wags	75	0
ko ra ba	75	0
ko raN+Do	75	0
ko rul	75	0
ko re	75	0
ko rlon gtums	75	0
ko la	75	0
ko la'i 'dab	75	0
ko long	75	0
ko sha lA	75	0
ko sham pa	75	0
ko sham bi	76	1
ko shi ka	76	0
ko shi la	76	0
ko sa la	76	0
kog pa	76	0
kog tse	76	0
kong	76	0
kong kun	76	0
kong khru	76	0
kong jo	76	0
kong bu	77	1
kong mo	77	0
kod	77	0
kon pa	77	0
koN+Di n+ya	77	0
kob kob	77	0
kom gdan	77	0
kom pa	77	0
kom po	77	0
kom shing kong jo	77	0
kor	77	0
kor kor	77	0
kor bzo	77	0
kol	77	0
kol ba'i lam	77	0
kol sa	77	0
kos ko	77	0
kwa	77	0
kwa ye	77	0
kya la	77	0
kya an	78	1
kyag	78	0
kyag kyog	78	0
kyang	78	0
kyang kyong	78	0
kyar kyor	78	0
kyar po	78	0
kyal	78	0
kyal ka	78	0
kyal kyol	78	0
kyal pa	78	0
kyi	78	0
kyi glong	79	1
kyi lce	79	0
kyi bun	79	0
kyi ling chu rta sngon po	79	0
kyi hud	79	0
kyig rtse	79	0
kying	79	0
kying ser rlung	79	0
kyin	79	0
kyir	79	0
kyis	79	0
kyu	79	0
kyur kyur	79	0
kye	80	1
kye kye	80	0
kye ga	80	0
kye rdo rje	80	0
kye phang pa	80	0
kye ma	80	0
kye re	80	0
kye hud	80	0
kyo ba	80	0
kyo rang	80	0
kyog	80	0
kyog po	80	0
kyong	80	0
kyom	80	0
kyom kyom	80	0
kyom pa	80	0
kyor	80	0
kyol	80	0
kra	80	0
kra ma shar Sha	80	0
krag	80	0
krang nge	81	1
krang nang	81	0
krad 'khor	81	0
krad rgyun	81	0
krad pa	81	0
kran ma	81	0
krab krab	81	0
kram	81	0
kri ka ru ka	81	0
kri kri	81	0
kri kha	81	0
kri ba sha'i gdong	81	0
kri mi	81	0
kri ya	81	0
kri shong ba ro	81	0
krig krig	81	0
krig gi	81	0
krig chags med pa	81	0
kring kang	82	1
kring bag sgyo	82	0
krin nad	82	0
kru kru	82	0
kru kru tris	82	0
kru ra	82	0
krung krung sgra can	82	0
krung thang	82	0
krum pa	82	0
krums	82	0
kre nyag	82	0
kre nag	82	0
kre pa	82	0
kre bo	82	0
kro dha na	82	0
kro d+ha na	82	0
krog krog	82	0
krong	82	0
krong krong	82	0
krong rtse	83	1
kron kron	83	0
kla klo	83	0
kla klo kha	83	0
kla klo rnams	83	0
kla klo'i kha	83	0
kla klo'i tig ta	83	0
kla klo'i spos	83	0
kla klo'i 'phel	83	0
kla rtsi	83	0
klag cor	83	0
klag pa	83	0
klags	83	0
klad	83	0
klad rgya	83	0
klad chung	83	0
klad tho	83	0
klad don	83	0
klad pa	83	0
klad pa 'gems pa	83	0
klad bzo	83	0
klan ka	84	1
klan pa	84	0
klan bya	84	0
klam pa	84	0
klal ba	84	0
klas	84	0
kling ma	84	0
klu	85	1
klu khang	85	0
klu glang nag po ba ru can	85	0
klu rgyal	85	0
klu rgyal dkar po dung skyong	85	0
klu rgyal mtha' yas	85	0
klu rgyal rigs lnga	85	0
klu sgrub	85	0
klu chen brgyad	85	0
klu 'jog po	85	0
klu thebs	85	0
klu mthar byed	85	0
klu dug	85	0
klu dug can	85	0
klu gdon 'joms byed	85	0
klu bdud rdo rje	85	0
klu mdud	85	0
klu ldog	85	0
klu sdings	85	0
klu nad	85	0
klu gnas	86	1
klu bod	86	0
klu byang	86	0
klu dbang gi rgyal po	86	0
klu 'bum	86	0
klu 'bum khra bo	86	0
klu mes	86	0
klu mo	86	0
klu mo mu tig nu zho can	86	0
klu sman	86	0
klu gzugs	86	0
klu yi skad	86	0
klu yi 'khri shing	86	0
klu yi lce	86	0
klu yi gzhi	86	0
klu shing	87	1
klu gshed gsum	87	0
klung	87	0
klung rgyun	87	0
klung sgog	87	0
klung rta	87	0
klung phyugs	87	0
klung 'bab pa	87	0
klung ma	87	0
klung tshag	87	0
klung shod	87	0
klung shos	87	0
klungs	88	1
klub pa	88	0
klu'i skad	88	0
klu'i grong khyer	88	0
klu'i 'jig rten	88	0
klu'i dug bcom	88	0
klu'i gdengs ka	88	0
klu'i sde	88	0
klu'i gnod pa	88	0
klu'i byang chub	88	0
klu'i sbrul	88	0
klu'i yi ge	88	0
klu'i bshes gnyen	88	0
klus bod	88	0
klus byang chub	88	0
kles	88	0
klog thob	88	0
klog pa	88	0
klong	88	0
klong chen	88	0
klong sde	88	0
klong ma dkyel	88	0
klongs pa	88	0
klongs rag	88	0
klon pa	89	1
k+Sha	89	0
k+Sha ya	89	0
dkag ba	89	0
dkan	89	0
dka'	90	1
dka' 'grel	90	0
dka' bcu	90	0
dka' thub	90	0
dka' thub kyi gnas	90	0
dka' thub dgra	90	0
dka' thub can	90	0
dka' thub spyod pa	90	0
dka' zlog bla ma	90	0
dka' zlog ma	90	0
dka' las che ba	90	0
dkar	90	1
dkar skya	90	0
dkar khang	90	0
dkar khung	91	1
dkar khyug	91	0
dkar khrigs	91	0
dkar gong	91	0
dkar rgya	91	0
dkar rgyan	91	0
dkar bcud gsum	91	0
dkar chag	91	0
dkar chab chab	91	0
dkar chung lha khang	91	0
dkar nye	91	0
dkar sting cha ngam	91	0
dkar thag	91	0
dkar dro	91	0
dkar ldan	91	0
dkar po	91	0
dkar po chig thub	91	0
dkar po rnam par 'char pa	91	0
dkar po 'bar	91	0
dkar po sbal rgyab	91	0
dkar po'i bskal pa	91	0
dkar phigs	91	0
dkar phibs	91	0
dkar phyogs	92	1
dkar ba	92	0
dkar mi byed pa	92	0
dkar min	92	0
dkar min bu	92	0
dkar me	92	0
dkar med ma	92	0
dkar mo	92	0
dkar dmar	92	0
dkar rtsi	92	0
dkar rtsis	92	0
dkar rtser ba	92	0
dkar mdzod	92	0
dkar 'dzin	92	0
dkar 'od	92	0
dkar yol	92	0
dkar g.yeng	92	0
dkar sangs	92	0
dkar seng nge ba	92	0
dkar sob yang ba'i 'od can	92	0
dkar gsal	92	0
dkar gsum	92	0
dku	92	0
dku mnye	92	0
dku lto	93	1
dku ste	93	0
dku ba	93	0
dkon	93	1
dkon mchog	94	1
dkon mchog kun 'dus	94	0
dkon mchog gi mchod pa	94	0
dkon mchog 'byung gnas	94	0
dkon mchog brtsegs pa	94	0
dkon mchog gsum	94	0
dkon mchog gsum gyi 'bangs	94	0
dkon gnyer	94	0
dkon po	94	0
dkon bu	95	1
dkor	95	0
dkor bdag	95	0
dkor nor	95	0
dkor pa	95	0
dkor bla	95	0
dkor ma 'bags	95	0
dkor mdzod	95	0
dkor rdzogs	95	0
dkor zas	95	0
dkor rigs	95	0
dkol pa	95	0
dkos thag	95	0
dkyar	95	0
dkyil	96	1
dkyil dkrungs	96	0
dkyil 'khor	96	0
dkyil 'khor gru bzhi pa	96	0
dkyil 'khor brgyad pa'i mdo	96	0
dkyil 'khor can	96	0
dkyil 'khor lding	96	0
dkyil 'khor gsum	96	0
dkyu rta	97	1
dkyu pa	97	0
dkyu ba	97	0
dkyu sa	97	0
dkyud pa	97	0
dkyus	97	0
dkyus dkar	97	0
dkyus ja	97	0
dkyus ma	97	0
dkyus mo	97	0
dkyus tshad	97	0
dkyus ring	97	0
dkyel	97	0
dkyel po che	97	0
dkyor 'byin	97	0
dkram ko 'thug pa	97	0
dkri	98	1
dkri ba	98	0
dkrig	98	0
dkrigs	98	0
dkris gyur	98	0
dkris pa	98	0
dkris phrag	98	0
dkru ba	98	0
dkrug pa	98	0
dkrugs pa	98	0
dkrugs pa po	98	0
dkrugs yig	98	0
dkrum pa	98	0
dkre	99	1
dkrog pa	99	0
dkrogs skyes	99	0
dkrogs pa po	99	0
dkrogs ma	99	0
dkrong bskyed	99	0
dkrol	99	0
bkag	99	0
bkag skor med pa	99	0
bkag cha byed pa	99	0
bkag sdom	99	0
bkag mo khegs pa	99	0
bkang	99	0
bkad	99	0
bkad nas	99	0
bkad sa	99	0
bkan pa	100	1
bkab	100	0
bkab pa	100	0
bkam pa	100	0
bka'	100	1
bka' bkod pa	100	0
bka' bkyon	100	0
bka' bkrol	100	0
bka' skor med pa	101	1
bka' khol	101	0
bka' khyab	101	0
bka' khrims	101	0
bka' khrims pa	101	0
bka' 'khor	101	0
bka' gros	101	0
bka' gros pa	101	0
bka' glegs	101	0
bka' bgro ba	101	0
bka' 'gyur	101	0
bka' 'grol ba	101	0
bka' rgya bcug pa	101	0
bka' rgya ma	101	0
bka' rgyud	102	1
bka' rgyud bstan pa'i gsal byed	102	0
bka' rgyud rnam rgyal	102	0
bka' sgyur	102	0
bka' sgyur btang ba	102	0
bka' sgrog pa	102	0
bka' bsgo	102	0
bka' bsgos	102	0
bka' mngags pa	102	0
bka' gcog pa	102	0
bka' bcu	102	0
bka' bcos	102	0
bka' chems	102	0
bka' mchid	102	0
bka' nyan	103	1
bka' nyan pa	103	0
bka' gnyan	103	0
bka' gnyan brjid	103	0
bka' gnyan po	103	0
bka' btags	103	0
bka' rtags	103	0
bka' stod	103	0
bka' thang	103	0
bka' tham	103	0
bka' drag po phab pa	103	0
bka' drin	103	0
bka' drin can	103	0
bka' drin che	103	0
bka' drin che zhus pa	103	0
bka' drin rjes su dran pa	103	0
bka' drin snying dpyangs	103	0
bka' drin mdzad pa	103	0
bka' drin gsum ldan	103	0
bka' drin gsol ba	103	0
bka' drung	103	0
bka' gdams	103	0
bka' gdams pa	103	0
bka' gdams pho brang	104	1
bka' mda'	104	0
bka' 'dus chos kyi rgya mtsho	104	0
bka' 'dogs pa	104	0
bka' 'doms	104	0
bka' sdod	104	0
bka' bsdu ba	104	0
bka' gnang ba	104	0
bka' gnam	104	0
bka' phebs	104	0
bka' phrin	104	0
bka' 'phrin	104	0
bka' babs	104	0
bka' babs bdun	104	0
bka' babs bzhi	104	0
bka' bam	104	0
bka' bris	104	0
bka' blo bde ba	104	0
bka' blon	104	0
bka' blon drung 'khor	104	0
bka' blon bzhi	104	0
bka' blon gsum	104	0
bka' dbang	105	1
bka' 'bab pa	105	0
bka' 'bum	105	0
bka' ma	105	0
bka' mang thim pa	105	0
bka' gtsang ma	105	0
bka' stsol ba	105	0
bka' tshogs	105	0
bka' 'dzin	105	0
bka' bzhin byed pa	106	1
bka' rab 'byams pa	106	0
bka' rams pa	106	0
bka' la rtsi ba	106	0
bka' lung	106	0
bka' log	106	0
bka' shag	106	0
bka' shog	106	0
bka' gsal	106	0
bka'i rnga bo che	106	0
bka'i cod pan	106	0
bka'i mdun blon	106	0
bkar	106	0
bkar ba	106	0
bkal thags	107	1
bkal ba	107	0
bkas	107	0
bkas pa	107	0
bku ba	107	0
bkug pa	107	0
bkum pa	107	0
bkur sti	107	0
bkur ba	107	0
bkur bar byed pa	107	0
bkur tshig	107	0
bkur 'os	107	0
bkog pa	107	0
bkong ba	107	0
bkod	107	0
bkod blta	107	0
bkod 'doms	107	0
bkod ldan	107	0
bkod pa	108	1
bkod pa mtha' yas	108	0
bkod pa'i gtsug gtor	108	0
bkon pa	108	0
bkor 'dre	108	0
bkol spyod	108	0
bkol ba	108	0
bkyal ba	108	0
bkyig pa	108	0
bkye ba	108	0
bkyed pa	108	0
bkyon pa	108	0
bkra ba	108	0
bkra ba'i skad 'byin	108	0
bkra byed	108	0
bkra zhing dmar	108	0
bkra lam me	108	0
bkra shis	109	1
bkra shis gling	109	0
bkra shis sgo mang	109	0
bkra shis brgyad pa'i mdo	109	0
bkra shis can	109	0
bkra shis chos rdzong	109	0
bkra shis brjod pa	109	0
bkra shis rtags brgyad	109	0
bkra shis rtags can	109	0
bkra shis dung	109	0
bkra shis ldan	110	1
bkra shis pa'i rdzas	110	0
bkra shis pa'i yi ge	110	0
bkra shis par gyur cig	110	0
bkra shis byed ma	110	0
bkra shis bla ma	110	0
bkra shis rtse	110	0
bkra shis brtsegs	110	0
bkra shis brtsegs pa'i mdo	110	0
bkra shis rdzas brgyad	110	0
bkra shis rdzogs pa	110	0
bkra shis lhun po	110	0
bkrag	110	0
bkrag pa	110	0
bkrag med	110	0
bkrab pa	110	0
bkram pa	110	0
bkral ba	110	0
bkras	110	0
bkras pa	110	0
bkras lung	110	0
bkras lhun	110	0
bkri ba	111	1
bkrid drang	111	0
bkris	111	0
bkris pa	111	0
bkru	111	0
bkrug pa	111	0
bkrus pa	111	0
bkre	111	0
bkre hor	111	0
bkren pa	111	0
bkren po	111	0
bkres skom	111	0
bkres nas	111	0
bkres pa	111	0
bkrongs pa	111	0
bkrol ba	111	0
bkros	111	0
bklags pa	111	0
rka	112	1
rka chu'i lha khang	112	0
rkang	112	0
rkang kyog	112	0
rkang kri	112	0
rkang bkod	112	0
rkang bkra ma	112	0
rkang skyes	112	0
rkang khra	112	0
rkang khrab	112	0
rkang khri	112	0
rkang 'khum	112	0
rkang 'khor	112	0
rkang gos	112	0
rkang gling	112	0
rkang mgo	113	1
rkang mgyogs	113	0
rkang 'gro	113	0
rkang 'gros	113	0
rkang rgyu	113	0
rkang brgya	113	0
rkang brgyad pa	113	0
rkang ngar	113	0
rkang gcig pa	113	0
rkang rjes	113	0
rkang gnyis pa	113	0
rkang btub	113	0
rkang rten	113	0
rkang stegs	113	0
rkang steng bu	113	0
rkang sten bu	113	0
rkang thang	113	0
rkang thang pa	113	0
rkang mthil	113	0
rkang 'thung	113	0
rkang drug pa	113	0
rkang drug tshes	114	1
rkang gdub	114	0
rkang 'dren	114	0
rkang ldan	114	0
rkang snam	114	0
rkang pa	114	0
rkang pa brkyangs	114	0
rkang pa 'theng po	114	0
rkang pa gsum ldan	114	0
rkang pa'i stabs sgyur	114	0
rkang pa'i 'du byed	114	0
rkang pa'i rtsa ba	114	0
rkang pa'i mtshon cha can	114	0
rkang phyin	114	0
rkang bol	114	0
rkang bral	114	0
rkang 'bam	114	0
