# work_key	english	tibetan	raw_label	source	vinaya
S5329	The Five Steps Of Secret Practice Panchakrama	RIM LNGA	The_Five_Steps_Of_Secret_Practice_Panchakrama--RIM_LNGA	r6	0
S533		ལམ་རིམ།/འཇམ་དཔལ་ཞལ་ལུང་།/འགྲེལ་པ།	ལམ་རིམ།/འཇམ་དཔལ་ཞལ་ལུང་།/འགྲེལ་པ།	sungbum	0
S533	Works On The Word Of Manjushri	'JAM DPAL ZHAL LUNG	Works_On_The_Word_Of_Manjushri--'JAM_DPAL_ZHAL_LUNG	r6	0
S5330		རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྒྲུབ་ཐབས།	རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྒྲུབ་ཐབས།	sungbum	0
S5330	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5331		རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/འགྲེལ་པ།	རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/འགྲེལ་པ།	sungbum	0
S5331	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5332		རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/ཚེས་བཅུ།	རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/ཚེས་བཅུ།	sungbum	0
S5332	Methods Of Performing The Ceremony Of The Tenth	TSES BCU	Methods_Of_Performing_The_Ceremony_Of_The_Tenth--TSES_BCU	r6	0
S5333		རྒྱུད།/སྤྱི།/འགྲེལ་པ།/ཇེ་ཚོངྐཔ་ལོབྶང་དྲཀྤ།	རྒྱུད།/སྤྱི།/འགྲེལ་པ།/ཇེ་ཚོངྐཔ་ལོབྶང་དྲཀྤ།	sungbum	0
S5333	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5334		རྒྱུད།/ངན་སོང་སྦྱོང་བ།/འགྲེལ་པ།	རྒྱུད།/ངན་སོང་སྦྱོང་བ།/འགྲེལ་པ།	sungbum	0
S5334	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5335		རྒྱུད།/ཀུན་རིག/སྒྲུབ་ཐབས།	རྒྱུད།/ཀུན་རིག/སྒྲུབ་ཐབས།	sungbum	0
S5335	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5336		རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	sungbum	0
S5336	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5337		རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇིགས་བྱེད།/སྒྲུབ་ཐབས།	sungbum	0
S5337	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5338		རྒྱུད།/གཤིན་རྗེ་དགྲ་ནག/སྒྲུབ་ཐབས།	རྒྱུད།/གཤིན་རྗེ་དགྲ་ནག/སྒྲུབ་ཐབས།	sungbum	0
S5338	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5339		རྒྱུད།/འཇིགས་བྱེད།/དབང་།	རྒྱུད།/འཇིགས་བྱེད།/དབང་།	sungbum	0
S5339	Methods Of Granting Empowerment Into Secret Practice	DBANG	Methods_Of_Granting_Empowerment_Into_Secret_Practice--DBANG	r6	0
S534		འདུལ་བ།/དགེ་སློང་།	འདུལ་བ།/དགེ་སློང་།	sungbum	0
S534	Instructions For Full Monks And Nuns	DGE SLONG	Instructions_For_Full_Monks_And_Nuns--DGE_SLONG	r6	0
S5340		རྒྱུད།/བདེ་མཆོག/རྫོགས་རིམ།	རྒྱུད།/བདེ་མཆོག/རྫོགས་རིམ།	sungbum	0
S5340	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5341		རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	sungbum	0
S5341	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5342		རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	རྒྱུད།/སྤྱི།/རྫོགས་རིམ།	sungbum	0
S5342	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5343		རྒྱུད།/འཁོར་ལོ་སྡོམ་པ།/རྫོགས་རིམ།	རྒྱུད།/འཁོར་ལོ་སྡོམ་པ།/རྫོགས་རིམ།	sungbum	0
S5343	Instructions For The Stage Of Completion	RDZOGS RIM	Instructions_For_The_Stage_Of_Completion--RDZOGS_RIM	r6	0
S5344		རྒྱུད།/འཇིགས་བྱེད།/དཀྱིལ་འཁོར།	རྒྱུད།/འཇིགས་བྱེད།/དཀྱིལ་འཁོར།	sungbum	0
S5344	Instructions Concerning The Secret World	DKYIL 'KHOR	Instructions_Concerning_The_Secret_World--DKYIL_'KHOR	r6	0
S5345		རྒྱུད།/འཇིགས་བྱེད།/བསྲུང་བ།	རྒྱུད།/འཇིགས་བྱེད།/བསྲུང་བ།	sungbum	0
S5345	Methods Of Spiritual Protection	BSRUNG BA	Methods_Of_Spiritual_Protection--BSRUNG_BA	r6	0
S5346		རྒྱུད།/འཇིགས་བྱེད།/ཕྱག་མཚན།	རྒྱུད།/འཇིགས་བྱེད།/ཕྱག་མཚན།	sungbum	0
S5346	Descriptions Of Sacred Gestures And Accoutrements	PHYAG RGYA	Descriptions_Of_Sacred_Gestures_And_Accoutrements--PHYAG_RGYA	r6	0
S5347		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S5347	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S5348		རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	sungbum	0
S5348	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5349		རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	sungbum	0
S5349	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S535		ལམ་རིམ།/ཆེ་ཤོས་ལམ་རིམ་ཟིན་བྲིས།	ལམ་རིམ།/ཆེ་ཤོས་ལམ་རིམ་ཟིན་བྲིས།	sungbum	0
S535	General Commentaries	SPYI	General_Commentaries--SPYI	r6	0
S5350		རྒྱུད།/ཀྱེ་རྡོར།/འགྲེལ་པ།	རྒྱུད།/ཀྱེ་རྡོར།/འགྲེལ་པ།	sungbum	0
S5350	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5351		རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	sungbum	0
S5351	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5352		རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	རྒྱུད།/དུས་འཁོར།/འགྲེལ་པ།	sungbum	0
S5352	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5353		ཕྲན་ཚེགས།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	ཕྲན་ཚེགས།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S5353	Miscellaneous works that do not fit into any other category	PHRAN TSEGS	Miscellaneous_works_that do not fit into any other category--PHRAN TSEGS	r6	0
S5354		རྒྱུད།/དཔལ་མཆོག/འགྲེལ་པ།	རྒྱུད།/དཔལ་མཆོག/འགྲེལ་པ།	sungbum	0
S5354	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5355		རྒྱུད།/ཀྱེ་རྡོར།/འགྲེལ་པ།	རྒྱུད།/ཀྱེ་རྡོར།/འགྲེལ་པ།	sungbum	0
S5355	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S5356		རྒྱུད།/བདག་མེད་མ།/སྒྲུབ་ཐབས།	རྒྱུད།/བདག་མེད་མ།/སྒྲུབ་ཐབས།	sungbum	0
S5356	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S5357		རྒྱུད།/སངས་རྒྱས་ཐོད་པ།/འགྲེལ་པ།	རྒྱུད།/སངས་རྒྱས་ཐོད་པ།/འགྲེལ་པ།	sungbum	0
