# work_key	english	tibetan	raw_label	source	vinaya
KD1	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD16	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
KD2	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD3	Vowed Morality	'DUL BA	Vowed_Morality--'DUL_BA	r6	1
KD49	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD60	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD61	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD62	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KD63	Stack of Jewels	DKON BRTZEGS	Stack_of_Jewels--DKON BRTZEGS	r6	0
KL21	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
KX16	Perfection of Wisdom	SHES PHYIN	Perfection_of_Wisdom--SHES PHYIN	r6	0
R2	Biographies From The Great Dictionary	TSIG MDZOD CHEN MO	Biographies_From_The_Great_Dictionary--TSIG_MDZOD_CHEN_MO	r6	0
R3		རྣམ་ཐར།/རྣམ་ཐར་སྣ་ཚོགས།/ཤེས་བྱའི་གཏེར་མཛོད།	རྣམ་ཐར།/རྣམ་ཐར་སྣ་ཚོགས།/ཤེས་བྱའི་གཏེར་མཛོད།	sungbum	0
S1		ཕར་ཕྱིན།/སྤྱི།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/མཐའ་དཔྱོད།	ཕར་ཕྱིན།/སྤྱི།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/མཐའ་དཔྱོད།	sungbum	0
S1	Perfection Of Wisdom	PHAR PHYIN	Perfection_Of_Wisdom--PHAR_PHYIN	r6	0
S10		དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	sungbum	0
S10	The Art Of Interpreting The Buddha	DRANG NGES	The_Art_Of_Interpreting_The_Buddha--DRANG_NGES	r6	0
S100		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	sungbum	0
S100	Works On The Thousand Angels Of The Heaven Of Bliss	DGA' LDAN LHA BRGYA MA	Works_On_The_Thousand_Angels_Of_The_Heaven_Of_Bliss--DGA'_LDAN_LHA_BRGYA_MA	r6	0
S1000		རྣམ་ཐར།/མཚན་ཐོག/ཆེས་ཤོས་རིན་པོ་ཆེ་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།	རྣམ་ཐར།/མཚན་ཐོག/ཆེས་ཤོས་རིན་པོ་ཆེ་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།	sungbum	0
S1000	Cheshu Rinpoche	CHE SHOS RIN PO CHE	Cheshu_Rinpoche--CHE SHOS RIN PO CHE	r6	0
S1001		དབུ་མ།/དབུ་མ་ལ་འཇུག་པའི་འགྲེལ་པ།/སྒོམ་སྡེ་ནམ་མཁའ་རྒྱལ་མཚན།	དབུ་མ།/དབུ་མ་ལ་འཇུག་པའི་འགྲེལ་པ།/སྒོམ་སྡེ་ནམ་མཁའ་རྒྱལ་མཚན།	sungbum	0
S1001	Practices Of Meditation And Reciting Sacred Words	BSGOMS BZLAS	Practices_Of_Meditation_And_Reciting_Sacred_Words--BSGOMS_BZLAS	r6	0
S1002		རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	རྒྱུད།/འཇམ་དབྱངས།/སྒྲུབ་ཐབས།	sungbum	0
S1002	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S1003		རྒྱུད།/འཇམ་དབྱངས།/རྗེས་གནང་།	རྒྱུད།/འཇམ་དབྱངས།/རྗེས་གནང་།	sungbum	0
S1003	Methods For Reaching The Holy Being	SGRUB THABS	Methods_For_Reaching_The_Holy_Being--SGRUB_THABS	r6	0
S1003	Rites For Granting Sacred Permission	RJES GNANG	Rites_For_Granting_Sacred_Permission--RJES_GNANG	r6	0
S102		ཆོ་ག/དགེ་བཤེས་བཤད་གཞུང་།	ཆོ་ག/དགེ་བཤེས་བཤད་གཞུང་།	sungbum	0
S102	Recitations For Geshe Degree Candidates	DGE BSHES BSHAD PA	Recitations_For_Geshe_Degree_Candidates--DGE_BSHES_BSHAD_PA	r6	0
S1023	Commentaries On The Practice	'GREL PA	Commentaries_On_The_Practice--'GREL_PA	r6	0
S103		རྒྱུད།/བདེ་མཆོག/ལུས་དཀྱིལ།	རྒྱུད།/བདེ་མཆོག/ལུས་དཀྱིལ།	sungbum	0
S103	Instructions For The Practice Of The Secret World Of The Body	LUS DKYIL	Instructions_For_The_Practice_Of_The_Secret_World_Of_The_Body--LUS_DKYIL	r6	0
S104		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S104	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S105		རྒྱུད།/བདེ་མཆོག/སྦྱིན་སྲེག	རྒྱུད།/བདེ་མཆོག/སྦྱིན་སྲེག	sungbum	0
S105	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S106		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S106	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S107		རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྦྱིན་སྲེག	རྒྱུད།/རྡོ་རྗེ་རྣལ་འབྱོར་མ།/སྦྱིན་སྲེག	sungbum	0
S107	Methods Of Performing Fire Offerings	SBYIN SREG	Methods_Of_Performing_Fire_Offerings--SBYIN_SREG	r6	0
S108		ལོ་ཐོ།/དུས་ཆེན།	ལོ་ཐོ།/དུས་ཆེན།	sungbum	0
S108	Astronomy And Astrology	SKAR RTZIS	Astronomy_And_Astrology--SKAR_RTZIS	r6	0
S109		ཆོ་ག/སྐུ་གསུང་ཐུགས་རྟེན།	ཆོ་ག/སྐུ་གསུང་ཐུགས་རྟེན།	sungbum	0
S109	Rituals For Creating Altars	RTEN BZHENGS	Rituals_For_Creating_Altars--RTEN_BZHENGS	r6	0
S11		དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	དྲང་ངེས།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།	sungbum	0
S11	The Art Of Interpreting The Buddha	DRANG NGES	The_Art_Of_Interpreting_The_Buddha--DRANG_NGES	r6	0
S110		ཆོ་ག/གཟུང་གཞུག	ཆོ་ག/གཟུང་གཞུག	sungbum	0
S110	Rituals For Loading Holy Images With Prayers	GZUNGS GZHUG	Rituals_For_Loading_Holy_Images_With_Prayers--GZUNGS_GZHUG	r6	0
S111		ཆོ་ག/གཟུང་གཞུག	ཆོ་ག/གཟུང་གཞུག	sungbum	0
S111	Rituals For Loading Holy Images With Prayers	GZUNGS GZHUG	Rituals_For_Loading_Holy_Images_With_Prayers--GZUNGS_GZHUG	r6	0
S112		ཆོ་ག/གཟུང་གཞུག	ཆོ་ག/གཟུང་གཞུག	sungbum	0
S112	Rituals For Loading Holy Images With Prayers	GZUNGS GZHUG	Rituals_For_Loading_Holy_Images_With_Prayers--GZUNGS_GZHUG	r6	0
S113		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S113	Rituals Of Consecration	RAB GNAS	Rituals_Of_Consecration--RAB_GNAS	r6	0
S114		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S114	Rituals Of Consecration	RAB GNAS	Rituals_Of_Consecration--RAB_GNAS	r6	0
S115		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S115	Rituals Of Consecration	RAB GNAS	Rituals_Of_Consecration--RAB_GNAS	r6	0
S116		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S116	Rituals Of Consecration	RAB GNAS	Rituals_Of_Consecration--RAB_GNAS	r6	0
S117		རྒྱུད།/གཤིན་པོ།/སྦྱང་ཆོག	རྒྱུད།/གཤིན་པོ།/སྦྱང་ཆོག	sungbum	0
S117	Rituals For Purifying Bad Karma Of The Dead	SBYANG CHOG	Rituals_For_Purifying_Bad_Karma_Of_The_Dead--SBYANG_CHOG	r6	0
S118		རྒྱུད།/གཤིན་པོ།/སྦྱང་ཆོག	རྒྱུད།/གཤིན་པོ།/སྦྱང་ཆོག	sungbum	0
S118	Rituals For Purifying Bad Karma Of The Dead	SBYANG CHOG	Rituals_For_Purifying_Bad_Karma_Of_The_Dead--SBYANG_CHOG	r6	0
S119		རྒྱུད།/རྡོ་རྗེ་མི་འཁྲུགས་པ།/སྐྲ་ཆོག	རྒྱུད།/རྡོ་རྗེ་མི་འཁྲུགས་པ།/སྐྲ་ཆོག	sungbum	0
S119	Methods Of Helping The Dead Through Blessing Their Hair	SKRA CHOG	Methods_Of_Helping_The_Dead_Through_Blessing_Their_Hair--SKRA_CHOG	r6	0
S12		ཕར་ཕྱིན།/དགེ་འདུན་ཉི་ཤུ།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/སྤྱི་དོན།	ཕར་ཕྱིན།/དགེ་འདུན་ཉི་ཤུ།/མཁས་གྲུབ་བསྟན་པ་དར་རྒྱས།/སྤྱི་དོན།	sungbum	0
S12	Perfection Of Wisdom	PHAR PHYIN	Perfection_Of_Wisdom--PHAR_PHYIN	r6	0
S120		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S120	Rituals Of Consecration	RAB GNAS	Rituals_Of_Consecration--RAB_GNAS	r6	0
S12001		ཉམས་ལེན།/ཞབས་བརྟན།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/ཞབས་བརྟན།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12002		རྣམ་ཐར།/མཚན་ཐོག/མི་ཏྲ་ཛོ་ཀི།	རྣམ་ཐར།/མཚན་ཐོག/མི་ཏྲ་ཛོ་ཀི།	sungbum	0
S12003		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	sungbum	0
S12004		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	sungbum	0
S12005		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།/དགའ་ལྡན་ལྷ་བརྒྱ་མ།	sungbum	0
S12006		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12007		ལྷ་བཟོ།/སྤྱི།	ལྷ་བཟོ།/སྤྱི།	sungbum	0
S12008		ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12009		ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12010		རྣམ་ཐར།/མཚན་ཐོག/འཇམ་དབྱངས་བཞད་པའི་རྡོ་རྗེའི་སྐུ་འཕྲེང་གསུམ་པ།	རྣམ་ཐར།/མཚན་ཐོག/འཇམ་དབྱངས་བཞད་པའི་རྡོ་རྗེའི་སྐུ་འཕྲེང་གསུམ་པ།	sungbum	0
S12011		ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12012		ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12013		ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12014		ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/སྨོན་ལམ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12015		ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	ཉམས་ལེན།/བསླབ་བྱ།/དྲུང་ཆེན་ཤེས་རབ་རྒྱ་མཚོ་པྲཛྙཱའི་མཚན་ཅན།	sungbum	0
S12018		ཉམས་ལེན།/གསོལ་འདེབས།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/གསོལ་འདེབས།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12019		ཉམས་ལེན།/སྨོན་ལམ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/སྨོན་ལམ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12020		ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/བླ་མའི་རྣལ་འབྱོར།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12021		རྒྱུད།/རྡོ་རྗེ་ཕྲེང་བ།/བླ་བརྒྱུད།	རྒྱུད།/རྡོ་རྗེ་ཕྲེང་བ།/བླ་བརྒྱུད།	sungbum	0
S12022		ཉམས་ལེན།/བསླབ་བྱ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/བསླབ་བྱ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12023		རྒྱུད།/བསྟན་པའི་འཁོར་ལོ།/བསྟོད་པ།	རྒྱུད།/བསྟན་པའི་འཁོར་ལོ།/བསྟོད་པ།	sungbum	0
S12025		ལམ་རིམ།/བྱང་སེམས་ཀྱི་སྡོམ་པ།	ལམ་རིམ།/བྱང་སེམས་ཀྱི་སྡོམ་པ།	sungbum	0
S12026		བཅའ་ཡིག/དགའ་ལྡན།	བཅའ་ཡིག/དགའ་ལྡན།	sungbum	0
S12027		ཉམས་ལེན།/བསླབ་བྱ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/བསླབ་བྱ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12028		རྒྱུད།/སྤྱི།/ཆོས་སྐྱོང་།	རྒྱུད།/སྤྱི།/ཆོས་སྐྱོང་།	sungbum	0
S12029		ཉམས་ལེན།/སྨོན་ལམ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	ཉམས་ལེན།/སྨོན་ལམ།/པཎ་ཆེན་སྐུ་ཕྲེང་བཞི་པ་བསྟན་པའི་ཉི་མ།	sungbum	0
S12030		རྒྱུད།/སྤྱི།/སྡེ་བརྒྱད།	རྒྱུད།/སྤྱི།/སྡེ་བརྒྱད།	sungbum	0
S12031		ཆོ་ག/གཞི་བདག	ཆོ་ག/གཞི་བདག	sungbum	0
S12033		རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S12034		རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S12035		ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12036		ཉམས་ལེན།/སྨོན་ལམ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/སྨོན་ལམ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12038		མདོ་འགྲེལ།/ཕར་ཕྱིན་འབུམ།	མདོ་འགྲེལ།/ཕར་ཕྱིན་འབུམ།	sungbum	0
S12039		མདོ་འགྲེལ།/ཉི་ཁྲི།	མདོ་འགྲེལ།/ཉི་ཁྲི།	sungbum	0
S12041		མདོ་འགྲེལ།/མདོ་སྡེ་བསྐལ་བཟང་།	མདོ་འགྲེལ།/མདོ་སྡེ་བསྐལ་བཟང་།	sungbum	0
S12042		མདོ་འགྲེལ།/མདོ་སྡེ་དཀོན་བརྩེགས།	མདོ་འགྲེལ།/མདོ་སྡེ་དཀོན་བརྩེགས།	sungbum	0
S12043		བློ་སྦྱོང་།/བློ་སྦྱོང་ནོར་བུའི་ཕྲེང་བ།	བློ་སྦྱོང་།/བློ་སྦྱོང་ནོར་བུའི་ཕྲེང་བ།	sungbum	0
S12044		ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12045		ཉམས་ལེན།/སྨོན་ལམ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/སྨོན་ལམ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12046		ཆོ་ག/མགོན་པོ་གླིང་བསྐོར།	ཆོ་ག/མགོན་པོ་གླིང་བསྐོར།	sungbum	0
S12047		ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12048		ལམ་རིམ།/སྐྱེ་བའི་སྡུག་བསྔལ།	ལམ་རིམ།/སྐྱེ་བའི་སྡུག་བསྔལ།	sungbum	0
S12049		རྒྱུད།/འཇིགས་བྱེད།/བླ་བརྒྱུད།	རྒྱུད།/འཇིགས་བྱེད།/བླ་བརྒྱུད།	sungbum	0
S12050		རྒྱུད།/འཇིགས་བྱེད།/མངོན་རྟོགས།	རྒྱུད།/འཇིགས་བྱེད།/མངོན་རྟོགས།	sungbum	0
S12051		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S12052		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S12053		རྒྱུད།/འཇིགས་བྱེད།/བསྙེན་པ།	རྒྱུད།/འཇིགས་བྱེད།/བསྙེན་པ།	sungbum	0
S12054		རྒྱུད།/འཇིགས་བྱེད།/བླ་བརྒྱུད།	རྒྱུད།/འཇིགས་བྱེད།/བླ་བརྒྱུད།	sungbum	0
S12055		རྒྱུད།/སྤྱི།/བུམ་སྒྲུབ།	རྒྱུད།/སྤྱི།/བུམ་སྒྲུབ།	sungbum	0
S12056		རྒྱུད།/སྤྱི།/བདུད་རྩི།	རྒྱུད།/སྤྱི།/བདུད་རྩི།	sungbum	0
S12057		རྒྱུད།/སྤྱི།/རབ་གནས།	རྒྱུད།/སྤྱི།/རབ་གནས།	sungbum	0
S12058		རྒྱུད།/སྤྱི།/ཀླུའི་བུམ་གཏེར།	རྒྱུད།/སྤྱི།/ཀླུའི་བུམ་གཏེར།	sungbum	0
S12060		ཆོས་འབྱུང་།/བུ་སྟོན་ཆོས་འབྱུང་།	ཆོས་འབྱུང་།/བུ་སྟོན་ཆོས་འབྱུང་།	sungbum	0
S12061		སྨན།/སྤྱི།	སྨན།/སྤྱི།	sungbum	0
S12063		ཕྲན་ཚེགས།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཕྲན་ཚེགས།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12064		ལམ་རིམ།/ཆ་ཧར་དགེ་བཤེས་ལམ་བརྗེད་བྱང་།	ལམ་རིམ།/ཆ་ཧར་དགེ་བཤེས་ལམ་བརྗེད་བྱང་།	sungbum	0
S12065		འདུལ་བ།/འདུལ་བ་ཆོས་འབྱུང་།	འདུལ་བ།/འདུལ་བ་ཆོས་འབྱུང་།	sungbum	0
S12066		བཀའ་གདམས་པ།	བཀའ་གདམས་པ།	sungbum	0
S12067		ཆོ་ག/རབ་གནས།	ཆོ་ག/རབ་གནས།	sungbum	0
S12068		དྲི་ལན།/པན་ཆེན་བླ་མ་སྐུ་ཕྲེང་གསུམ་པ་དཔལ་ལྡན་ཡེ་ཤེས།	དྲི་ལན།/པན་ཆེན་བླ་མ་སྐུ་ཕྲེང་གསུམ་པ་དཔལ་ལྡན་ཡེ་ཤེས།	sungbum	0
S12069		གསུམ་རྟགས།	གསུམ་རྟགས།	sungbum	0
S12070		རྒྱུད།/སྤྱི།/ཚོགས།	རྒྱུད།/སྤྱི།/ཚོགས།	sungbum	0
S12071		རྒྱུད།/གདུགས་དཀར།/སྔགས།	རྒྱུད།/གདུགས་དཀར།/སྔགས།	sungbum	0
S12072		རྒྱུད།/གདུགས་དཀར།/སྔགས།	རྒྱུད།/གདུགས་དཀར།/སྔགས།	sungbum	0
S12073		རྒྱུད།/གདུགས་དཀར།/བཟློག་པ།	རྒྱུད།/གདུགས་དཀར།/བཟློག་པ།	sungbum	0
S12074		རྒྱུད།/གདུགས་དཀར།/བཟློག་པ།	རྒྱུད།/གདུགས་དཀར།/བཟློག་པ།	sungbum	0
S12075		རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	རྒྱུད།/འཇིགས་བྱེད།/སྦྱིན་སྲེག	sungbum	0
S12076		རྒྱུད།/ནོར་ཧླ།/སྦྱིན་སྲེག	རྒྱུད།/ནོར་ཧླ།/སྦྱིན་སྲེག	sungbum	0
S12077		རྒྱུད།/དགྲ་ལྷ།/མཆོད་པ།	རྒྱུད།/དགྲ་ལྷ།/མཆོད་པ།	sungbum	0
S12078		རྒྱུད།/སྤྱི།/ས་བདག	རྒྱུད།/སྤྱི།/ས་བདག	sungbum	0
S12079		རྒྱུད།/བསྲུང་བ་ལྔ།/ཁྲུ་བ།	རྒྱུད།/བསྲུང་བ་ལྔ།/ཁྲུ་བ།	sungbum	0
S12080		ཉམས་ལེན།/སྤྱི།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/སྤྱི།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12081		ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	ཉམས་ལེན།/བསླབ་བྱ།/ཆ་ཧར་དགེ་བཤེས་བློ་བཟང་ཚུལ་ཁྲིམས།	sungbum	0
S12082		རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S12083		རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
S12084		རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	རྣམ་ཐར།/མཚན་ཐོག/རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།	sungbum	0
