Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
chau,ཆཽ,cho lo,ཆོ་ལོ,rKTs (CC BY 4.0)
choga'i,ཆོགའི,chog pa'i,ཆོག་པའི,rKTs (CC BY 4.0): Esukhia
choMs,ཆོྃས,choms,ཆོམས,rKTs (CC BY 4.0): Esukhia
chodarod,ཆོདརོད,chod par gcod,ཆོད་པར་གཅོད,rKTs (CC BY 4.0): Dzongkha abbreviations
chodar,ཆོདར,chod par,ཆོད་པར,rKTs (CC BY 4.0): Dzongkha abbreviations
choM,ཆོཾ,chom,ཆོམ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi dbang+yug,ཆོསྱི་དབངྱུག,chos kyi dbang phyug,ཆོས་ཀྱི་དབང་ཕྱུག,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi dbad+yug,ཆོསྱི་དབདྱུག,chos kyi dbang phyug,ཆོས་ཀྱི་དབང་ཕྱུག,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yangisu+i,ཆོསྱངིསིུ,chos kyi dbyings su,ཆོས་ཀྱི་དབྱིངས་སུ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
chos+yingisu,ཆོསྱིངིསུ,chos kyi dbyings su,ཆོས་ཀྱི་དབྱིངས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi phyagya,ཆོསྱི་ཕྱགྱ,chos kyi phyag rgya,ཆོས་ཀྱི་ཕྱག་རྒྱ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi 'khaur,ཆོསྱི་འཁཽར,chos kyi 'khor lo,ཆོས་ཀྱི་འཁོར་ལོ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi rgyaloM,ཆོསྱི་རྒྱལོཾ,chos kyi rgyal mo,ཆོས་ཀྱི་རྒྱལ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi rjesu,ཆོསྱི་རྗེསུ,chos kyi rjes su,ཆོས་ཀྱི་རྗེས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi rnaM grangs,ཆོསྱི་རྣཾ་གྲངས,chos kyi rnam grangs,ཆོས་ཀྱི་རྣམ་གྲངས,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yi,ཆོསྱི,chos kyi,ཆོས་ཀྱི,rKTs (CC BY 4.0)
chosum,ཆོསུམ,chos gsum,ཆོས་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
chosuM,ཆོསུཾ,chos gsum,ཆོས་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
chosid,ཆོསིད,chos nyid,ཆོས་ཉིད,rKTs (CC BY 4.0)
chosangage+un+s+de,ཆོསངགེུནྶྡེ་,chos dang dge 'dun sde,ཆོས་དང་དགེ་འདུན་སྡེ་,rKTs (CC BY 4.0): Esukhia
chos+yingasu bsdus,ཆོསྱིངསུ་བསྡུས,chos dbyings su bsdus,ཆོས་དབྱིངས་སུ་བསྡུས,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yings,ཆོསྱིངས,chos dbyings,ཆོས་དབྱིངས,rKTs (CC BY 4.0): Dzongkha abbreviations
ch+yongis,ཆྱོངིས,chos dbyings,ཆོས་དབྱིངས,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
ch+yo+ings,ཆྱོིངས,chos dbyings,ཆོས་དབྱིངས,rKTs (CC BY 4.0): Dzongkha abbreviations
chostan pa,ཆོསྟན་པ,chos bstan pa,ཆོས་བསྟན་པ,rKTs (CC BY 4.0): Dzongkha abbreviations
ch+yode r+n+yor,ཆྱོདེ་རྣྱོར,chos byed rnal 'byor,ཆོས་བྱེད་རྣལ་འབྱོར,rKTs (CC BY 4.0): Dzongkha abbreviations
ch+yode,ཆྱོདེ,chos byed,ཆོས་བྱེད,rKTs (CC BY 4.0): Dzongkha abbreviations
chos^aMs,ཆོསཾ༹ས,chos mtshams,ཆོས་མཚམས,rKTs (CC BY 4.0): Dzongkha abbreviations
chos^ad,ཆོས༹ད,chos mdzad,ཆོས་མཛད,rKTs (CC BY 4.0): Dzongkha abbreviations
chos^an,ཆོས༹ན,chos tshan,ཆོས་ཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
chosaur,ཆོསཽར,chos 'khor bskor,ཆོས་འཁོར་བསྐོར,rKTs (CC BY 4.0): Dzongkha abbreviations
chausar,ཆཽསར,chos 'khor,ཆོས་འཁོར,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
chosor,ཆོསོར,chos 'khor,ཆོས་འཁོར,rKTs (CC BY 4.0): Dzongkha abbreviations
chosel,ཆོསེལ,chos 'phel,ཆོས་འཕེལ,rKTs (CC BY 4.0): Dzongkha abbreviations
chosrul,ཆོསྲུལ,chos 'phrul,ཆོས་འཕྲུལ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yung,ཆོསྱུང༌,chos 'byung,ཆོས་འབྱུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
ch+yu+ong,ཆྱོུང,chos 'byung,ཆོས་འབྱུང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
ch+yo+ung,ཆྱོུང,chos 'byung,ཆོས་འབྱུང,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yor,ཆོསྱོར,chos 'byor,ཆོས་འབྱོར,rKTs (CC BY 4.0): Dzongkha abbreviations
chosrel,ཆོསྲེལ,chos 'brel,ཆོས་འབྲེལ,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yal+ri,ཆོསྱལྲི་,chos rgyal khri,ཆོས་རྒྱལ་ཁྲི་,rKTs (CC BY 4.0): Esukhia
chosugs,ཆོསུགས,chos lugs,ཆོས་ལུགས,rKTs (CC BY 4.0): Dzongkha abbreviations
chosuT,ཆོསུཊ,chos lugs,ཆོས་ལུགས,rKTs (CC BY 4.0): Dzongkha abbreviations
chosu,ཆོསུ,chos su,ཆོས་སུ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
choskad,ཆོསྐད,chos skad,ཆོས་སྐད,rKTs (CC BY 4.0): Dzongkha abbreviations
chosku,ཆོསྐུ,chos sku,ཆོས་སྐུ,rKTs (CC BY 4.0)
chosku'i,ཆོསྐུའི,chos sku'i,ཆོས་སྐུའི,rKTs (CC BY 4.0): Dzongkha abbreviations
choskyong,ཆོསྐྱོང༌,chos skyong,ཆོས་སྐྱོང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
choskyongsrungaM,ཆོསྐྱོང༌སྲུངཾ,chos skyong,ཆོས་སྐྱོང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
chos+yong,ཆོསྱོང༌,chos skyong,ཆོས་སྐྱོང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
ch+yaung,ཆྱཽང༌,chos skyong,ཆོས་སྐྱོང༌,rKTs (CC BY 4.0)
chaus+yang,ཆཽསྱང,chos skyong,ཆོས་སྐྱོང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
choskyob kyis^ada'i,ཆོསྐྱོབ་ཀྱིས༹དའི,chos skyob kyis mdzad pa'i,ཆོས་སྐྱོབ་ཀྱིས་མཛད་པའི,rKTs (CC BY 4.0): Dzongkha abbreviations
choskyobasdus,ཆོསྐྱོབསྡུས,chos skyobs sdus,ཆོས་སྐྱོབས་སྡུས,rKTs (CC BY 4.0): Dzongkha abbreviations
chosgrogs,ཆོསྒྲོགས,chos sgrogs,ཆོས་སྒྲོགས,rKTs (CC BY 4.0): Dzongkha abbreviations
chosgroT,ཆོསྒྲོཊ,chos sgrogs,ཆོས་སྒྲོགས,rKTs (CC BY 4.0): Dzongkha abbreviations
choston,ཆོསྟོན,chos ston,ཆོས་སྟོན,rKTs (CC BY 4.0): Dzongkha abbreviations
chosde,ཆོསྡེ,chos sde,ཆོས་སྡེ,rKTs (CC BY 4.0): Dzongkha abbreviations
chosel,ཆོསེལ,chos spel,ཆོས་སྤེལ,rKTs (CC BY 4.0): Dzongkha abbreviations
chospyod,ཆོསྤྱོད,chos spyod,ཆོས་སྤྱོད,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
chosman,ཆོསྨན,chos sman,ཆོས་སྨན,rKTs (CC BY 4.0): Dzongkha abbreviations
chosmra ba,ཆོསྨྲ་བ,chos smra ba,ཆོས་སྨྲ་བ,rKTs (CC BY 4.0): Dzongkha abbreviations
chosrid,ཆོསྲིད,chos srid,ཆོས་སྲིད,rKTs (CC BY 4.0): Dzongkha abbreviations
chosrung,ཆོསྲུང༌,chos srung,ཆོས་སྲུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
jaM,ཇཾ,ja ma,ཇ་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
jini,ཇིནི,ji bzhin,ཇི་བཞིན,rKTs (CC BY 4.0): Dzongkha abbreviations
jir,ཇིར,ji ltar,ཇི་ལྟར,rKTs (CC BY 4.0): Dzongkha abbreviations
j+tir,ཇྟིར,ji ltar,ཇི་ལྟར,rKTs (CC BY 4.0)
jidu+i,ཇིདིུ,ji srid du,ཇི་སྲིད་དུ,rKTs (CC BY 4.0): Dzongkha abbreviations
jisridatsho'i,ཇིསྲིདཚོའི,ji srid 'tsho'i,ཇི་སྲིད་འཚོའི,rKTs (CC BY 4.0): Esukhia
jidi,ཇིདི,ji srid,ཇི་སྲིད,rKTs (CC BY 4.0): Dzongkha abbreviations
ji+id,ཇིིད,ji srid,ཇི་སྲིད,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
jo+o,ཇོོ,jo jo,ཇོ་ཇོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
jau,ཇཽ,jo bo,ཇོ་བོ,rKTs (CC BY 4.0)
jo+o,ཇོོ,jo bo,ཇོ་བོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
jau'i,ཇཽའི,jo bo'i,ཇོ་བོའི,rKTs (CC BY 4.0): Dzongkha abbreviations
jauM,ཇཽཾ,jo mo,ཇོ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
jaum,ཇཽམ,jo mo,ཇོ་མོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
jo+o,ཇོོ,jo mo,ཇོ་མོ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
jo+o+o+o+o+o+o',ཇོོོོོོོའ,jobojomomjo mo bzhob,ཇོབོཇོམོམཇོ་མོ་བཞོབ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
ny+yu,ཉྱུ,nya kyu,ཉ་ཀྱུ,rKTs (CC BY 4.0): Esukhia
ny+yiM,ཉྱིྃ་,nya khyim,ཉ་ཁྱིམ་,rKTs (CC BY 4.0): Esukhia
ny+gang,ཉྒང,nya gang,ཉ་གང,rKTs (CC BY 4.0): Esukhia
ny+ga'ang,ཉྒའང,nya ga'ang,ཉ་གའང,rKTs (CC BY 4.0): Esukhia
ny+ga'o,ཉྒའོ,nya ga'o,ཉ་གའོ,rKTs (CC BY 4.0): Esukhia
nyagacig,ཉགཅིག,nyag gcig,ཉག་གཅིག,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+chung,ཉྖུང,nya chung,ཉ་ཆུང,rKTs (CC BY 4.0): Esukhia
nyAg,ཉཱག,nyag nyag,ཉག་ཉག,rKTs (CC BY 4.0): Dzongkha abbreviations
nyago,ཉགོ,nyag nyog,ཉག་ཉོག,rKTs (CC BY 4.0): Dzongkha abbreviations
nyangu,ཉངུ,nyang nyung,ཉང་ཉུང,rKTs (CC BY 4.0): Dzongkha abbreviations
nyanos,ཉནོས,nyan thos,ཉན་ཐོས,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
thanos,ཐནོས,nyan thos,ཉན་ཐོས,rKTs (CC BY 4.0): Dzongkha abbreviations
nyabo,ཉབོ,nyab nyob,ཉབ་ཉོབ,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMg,ཉཾག,nyam thag,ཉམ་ཐག,rKTs (CC BY 4.0): Dzongkha abbreviations
nye bste,ཉེ་བསྟེ,nya ba ste,ཉ་བ་སྟེ,rKTs (CC BY 4.0): Esukhia
ny+mig,ཉྨིག,nya mig,ཉ་མིག,rKTs (CC BY 4.0): Esukhia
ny+mid+che,ཉྨིདྖེ,nya mid che,ཉ་མིད་ཆེ,rKTs (CC BY 4.0): Esukhia
nyoM,ཉོྃ,nya mo,ཉ་མོ,rKTs (CC BY 4.0): Esukhia
ny+mo,ཉྨོ,nya mo,ཉ་མོ,rKTs (CC BY 4.0): Esukhia
nyatshang,ཉཚང,nya tshang,ཉ་ཚང,rKTs (CC BY 4.0): Esukhia
nyatshes,ཉཚེས,nya tshes,ཉ་ཚེས,rKTs (CC BY 4.0): Esukhia
nyadzinabyede,ཉཛིནབྱེདེ,nya 'dzin byed de,ཉ་འཛིན་བྱེད་དེ,rKTs (CC BY 4.0): Esukhia
ny+l+cibs,ཉླྕིབས,nya lcibs,ཉ་ལྕིབས,rKTs (CC BY 4.0): Esukhia
ny+l+to,ཉླྟོ,nya lto,ཉ་ལྟོ,rKTs (CC BY 4.0): Esukhia
ny+k+yob,ཉྐྱོབ,nya skyob,ཉ་སྐྱོབ,rKTs (CC BY 4.0): Esukhia
ny+tongad+yad,ཉྟོངདྱད,nya stong brgyad,ཉ་སྟོང་བརྒྱད,rKTs (CC BY 4.0): Esukhia
nyagacig,ཉགཅིག,nyag gcig,ཉག་གཅིག,rKTs (CC BY 4.0): Esukhia
nyage,ཉགེ,nyag ge,ཉག་གེ,rKTs (CC BY 4.0): Esukhia
ny+thag,ཉྠག,nyag thag,ཉག་ཐག,rKTs (CC BY 4.0): Esukhia
nyagra,ཉགྲ,nyag phra,ཉག་ཕྲ,rKTs (CC BY 4.0): Esukhia
nyagranaMda',ཉགྲནྃདའ,nyag phran mda',ཉག་ཕྲན་མདའ,rKTs (CC BY 4.0): Esukhia
nyag+thaMli,ཉགྠྃལི,nyag mthil,ཉག་མཐིལ,rKTs (CC BY 4.0): Esukhia
nyagaMda',ཉགྃདའ,nyag mda',ཉག་མདའ,rKTs (CC BY 4.0): Esukhia
nyagoMM,ཉགོྃ་,nyag mo ma,ཉག་མོ་མ,rKTs (CC BY 4.0): Esukhia
nyag+do,ཉགྡོ,nyag rdo,ཉག་རྡོ,rKTs (CC BY 4.0): Esukhia
nyagla,ཉགླ,nyag la,ཉག་ལ,rKTs (CC BY 4.0): Esukhia
nyaging,ཉགིང,nyag shing,ཉག་ཤིང,rKTs (CC BY 4.0): Esukhia
nyagrang,ཉགྲང,nyag srang,ཉག་སྲང,rKTs (CC BY 4.0): Esukhia
nyangir,ཉངིར,nyang khrir,ཉང་ཁྲིར,rKTs (CC BY 4.0): Esukhia
nyeng,ཉེང,nyang nge,ཉང་ངེ,rKTs (CC BY 4.0): Esukhia
nyaM,ཉཾ,nyang,ཉང,rKTs (CC BY 4.0): Esukhia
nyanos+yi,ཉནོསྱི,nyan thos kyi,ཉན་ཐོས་ཀྱི,rKTs (CC BY 4.0): Esukhia
nyan+thos+yi,ཉནྠོསྱི,nyan thos kyi,ཉན་ཐོས་ཀྱི,rKTs (CC BY 4.0): Esukhia
nyosi,ཉོསི,nyan thos kyi,ཉན་ཐོས་ཀྱི,rKTs (CC BY 4.0): Esukhia
nyanasde,ཉནསྡེ,nyan thos sde,ཉན་ཐོས་སྡེ,rKTs (CC BY 4.0): Esukhia
nyosde,ཉོསྡེ,nyan thos sde,ཉན་ཐོས་སྡེ,rKTs (CC BY 4.0): Esukhia
nyanoslob,ཉནོསློབ,nyan thos slob,ཉན་ཐོས་སློབ,rKTs (CC BY 4.0): Esukhia
nyan+thos,ཉནྠོས,nyan thos,ཉན་ཐོས,rKTs (CC BY 4.0): Esukhia
nyos,ཉོས,nyan thos,ཉན་ཐོས,rKTs (CC BY 4.0): Esukhia
nyan+yedabango,ཉནྱེདབངོ,nyan byed dbang bo,ཉན་བྱེད་དབང་བོ,rKTs (CC BY 4.0): Esukhia
nyan+Yig,ཉནྻིག,nyan yig,ཉན་ཡིག,rKTs (CC BY 4.0): Esukhia
nyan+rang,ཉནྲང,nyan rang,ཉན་རང,rKTs (CC BY 4.0): Esukhia
ny+rang,ཉྲང,nyan rang,ཉན་རང,rKTs (CC BY 4.0): Esukhia
nyan+na,ཉནྣ,nyan rna,ཉན་རྣ,rKTs (CC BY 4.0): Esukhia
nyab+nyob,ཉབྙོབ,nyab nyob,ཉབ་ཉོབ,rKTs (CC BY 4.0): Esukhia
nyeb,ཉེབ,nyab be,ཉབ་བེ,rKTs (CC BY 4.0): Esukhia
nyaMkhyil,ཉྃཁྱིལ,nyam khyil,ཉམ་ཁྱིལ,rKTs (CC BY 4.0): Esukhia
ny+chuMng,ཉྖུྃང,nyam chung,ཉམ་ཆུང,rKTs (CC BY 4.0): Esukhia
nyaMsedeM,ཉྃསེདེྃ,nyam nyes med,ཉམ་ཉེས་མེད,rKTs (CC BY 4.0): Esukhia
nyaMg,ཉྃག,nyam thag,ཉམ་ཐག,rKTs (CC BY 4.0): Esukhia
ny+thaMg,ཉྠྃག,nyam thag,ཉམ་ཐག,rKTs (CC BY 4.0): Esukhia
nyaman,ཉམན,nyam dman,ཉམ་དམན,rKTs (CC BY 4.0): Esukhia
nyams,ཉམས,nyam dmas,ཉམ་དམས,rKTs (CC BY 4.0): Esukhia
nyaMtshad,ཉྃཚད,nyam tshad,ཉམ་ཚད,rKTs (CC BY 4.0): Esukhia
nyaM,ཉྃ,nyam,ཉམ,rKTs (CC BY 4.0): Esukhia
nyaMsrid,ཉྃསྲིད,nyams khrid,ཉམས་ཁྲིད,rKTs (CC BY 4.0): Esukhia
nyaMso,ཉྃསོ,nyams gso,ཉམས་གསོ,rKTs (CC BY 4.0): Esukhia
nyaMsgud,ཉྃསྒུད,nyams gud,ཉམས་གུད,rKTs (CC BY 4.0): Esukhia
nyaMsgrib,ཉྃསྒྲིབ,nyams grib,ཉམས་གྲིབ,rKTs (CC BY 4.0): Esukhia
nyaMslu,ཉྃསླུ,nyams glu,ཉམས་གླུ,rKTs (CC BY 4.0): Esukhia
nyaMs+chag+che,ཉྃསྖགྖེ,nyams chag che,ཉམས་ཆག་ཆེ,rKTs (CC BY 4.0): Esukhia
nyaMs+chenaso,ཉྃསྖེནསོ,nyams chen pos,ཉམས་ཆེན་པོས,rKTs (CC BY 4.0): Esukhia
ny+coMs,ཉྕོྃས,nyams bcos,ཉམས་བཅོས,rKTs (CC BY 4.0): Esukhia
nyaMs+jid,ཉྃསྗིད,nyams brjid,ཉམས་བརྗིད,rKTs (CC BY 4.0): Esukhia
nyaMstas,ཉྃསྟས,nyams brtas,ཉམས་བརྟས,rKTs (CC BY 4.0): Esukhia
nyaMs+yed+yi,ཉྃསྱེདྱི,nyams byed kyi,ཉམས་བྱེད་ཀྱི,rKTs (CC BY 4.0): Esukhia
nyaMsaguMr,ཉྃསགུྃར,nyams mgur,ཉམས་མགུར,rKTs (CC BY 4.0): Esukhia
nyaMsaMtshar,ཉྃསྃཚར,nyams mtshar,ཉམས་མཚར,rKTs (CC BY 4.0): Esukhia
nyaMsaMde,ཉྃསྃདེ,nyams med,ཉམས་མེད,rKTs (CC BY 4.0): Esukhia
nyaMsagur,ཉཾསགུར,nyams mgur,ཉམས་མགུར,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMsrongon,ཉྃསྲོངོན,nyams myong mngon,ཉམས་མྱོང་མངོན,rKTs (CC BY 4.0): Esukhia
nyamyong,ཉམྱོང,nyams myong,ཉམས་མྱོང,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMsatshod,ཉྃསཚོད,nyams tshod,ཉམས་ཚོད,rKTs (CC BY 4.0): Esukhia
nyaMs+ying+che,ཉྃསྱིངྖེ,nyams 'gying che,ཉམས་འགྱིང་ཆེ,rKTs (CC BY 4.0): Esukhia
nyaMs+yur,ཉྃསྱུར,nyams 'gyur,ཉམས་འགྱུར,rKTs (CC BY 4.0): Esukhia
nyaMsadzina'i,ཉྃསཛིནའི,nyams 'dzin pa'i,ཉམས་འཛིན་པའི,rKTs (CC BY 4.0): Esukhia
nyaMs+Yig,ཉྃསྻིག,nyams yig,ཉམས་ཡིག,rKTs (CC BY 4.0): Esukhia
nyaMsgyud,ཉྃསྒྱུད,nyams rgud,ཉམས་རྒུད,rKTs (CC BY 4.0): Esukhia
nyaMsnying,ཉྃསྙིང་,nyams rnying,ཉམས་རྙིང་,rKTs (CC BY 4.0): Esukhia
nyaMstongaphel,ཉྃསྟོངཕེལ,nyams rtogs 'phel,ཉམས་རྟོགས་འཕེལ,rKTs (CC BY 4.0): Esukhia
nyaMsartsal,ཉྃསརྩལ,nyams rtsal,ཉམས་རྩལ,rKTs (CC BY 4.0): Esukhia
nyaMsen,ཉཾསེན,nyams len,ཉམས་ལེན,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMne,ཉྃནེ,nyams len,ཉམས་ལེན,rKTs (CC BY 4.0): Esukhia
nyaMslen,ཉྃསླེན,nyams len,ཉམས་ལེན,rKTs (CC BY 4.0): Esukhia
nyaMsdan,ཉྃསྡན,nyams ldan,ཉམས་ལྡན,rKTs (CC BY 4.0): Esukhia
nyaMs+shar,ཉྃསྴར,nyams shar,ཉམས་ཤར,rKTs (CC BY 4.0): Esukhia
nyaMsad,ཉྃསད,nyams sad,ཉམས་སད,rKTs (CC BY 4.0): Esukhia
nyaMsu,ཉྃསུ,nyams su,ཉམས་སུ,rKTs (CC BY 4.0): Esukhia
nyamasu,ཉམསུ,nyams su,ཉམས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMsu,ཉཾསུ,nyams su,ཉམས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMso,ཉཾསོ,nyams so,ཉམས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMstabs,ཉྃསྟབས,nyams stabs,ཉམས་སྟབས,rKTs (CC BY 4.0): Esukhia
nyaMstobas+che,ཉྃསྟོབསྖེ,nyams stobs che,ཉམས་སྟོབས་ཆེ,rKTs (CC BY 4.0): Esukhia
nyaMstobs,ཉཾསྟོབས,nyams stobs,ཉམས་སྟོབས,rKTs (CC BY 4.0): Dzongkha abbreviations
nyaMsnang,ཉཾསྣང༌,nyams snang,ཉམས་སྣང༌,rKTs (CC BY 4.0)
nyaMsmad,ཉྃསྨད,nyams smad,ཉམས་སྨད,rKTs (CC BY 4.0): Esukhia
nyaMsmod,ཉྃསྨོད,nyams smod,ཉམས་སྨོད,rKTs (CC BY 4.0): Esukhia
nyaMs,ཉྃས,nyams,ཉམས,rKTs (CC BY 4.0)
nyar+yed,ཉརྱེད,nyar byed,ཉར་བྱེད,rKTs (CC BY 4.0): Esukhia
nyaraM,ཉརྃ་,nyar ma,ཉར་མ་,rKTs (CC BY 4.0): Esukhia
nyaratshaDa,ཉརཚཌ་,nyar tshags,ཉར་ཚགས་,rKTs (CC BY 4.0): Esukhia
nyaradzin,ཉརཛིན,nyar 'dzin,ཉར་འཛིན,rKTs (CC BY 4.0): Esukhia
nyal+ri,ཉལྲི,nyal khri,ཉལ་ཁྲི,rKTs (CC BY 4.0): Esukhia
nyalgur,ཉལྒུར,nyal gur,ཉལ་གུར,rKTs (CC BY 4.0): Esukhia
nyalgos,ཉལྒོས,nyal gos,ཉལ་གོས,rKTs (CC BY 4.0): Esukhia
nyal+yisagro,ཉལྱིསགྲོ,nyal gyis 'gro,ཉལ་གྱིས་འགྲོ,rKTs (CC BY 4.0): Esukhia
nyal+chasoDa,ཉལྖསོཌ་,nyal chas sogs,ཉལ་ཆས་སོགས་,rKTs (CC BY 4.0): Esukhia
nyali,ཉལི,nyal nyil,ཉལ་ཉིལ,rKTs (CC BY 4.0): Dzongkha abbreviations
nyal+tha,ཉལྠ,nyal tha,ཉལ་ཐ,rKTs (CC BY 4.0): Esukhia
naldud,ནལྡུད,nyal dud,ཉལ་དུད,rKTs (CC BY 4.0): Esukhia
nyala'i,ཉལའི,nyal ba'i,ཉལ་བའི,rKTs (CC BY 4.0): Esukhia
nyal+yedaMtshan,ཉལྱེདྃཚན,nyal byed mtshan,ཉལ་བྱེད་མཚན,rKTs (CC BY 4.0): Esukhia
nyal+yed,ཉལྱེད,nyal byed,ཉལ་བྱེད,rKTs (CC BY 4.0): Esukhia
nyal+ro,ཉལྲོ,nyal 'gro,ཉལ་འགྲོ,rKTs (CC BY 4.0): Esukhia
nyal+ro'i,ཉལྲོའི,nyal 'gro'i,ཉལ་འགྲོའི,rKTs (CC BY 4.0): Esukhia
nyaldan,ཉལྡན,nyal ldan,ཉལ་ལྡན,rKTs (CC BY 4.0): Dzongkha abbreviations
nyanos+yi,ཉནོསྱི,nyas thos kyi,ཉས་ཐོས་ཀྱི,rKTs (CC BY 4.0): Esukhia
ny+yi+imo,ཉྱིིམོ,nyi khyim mo,ཉི་ཁྱིམ་མོ,rKTs (CC BY 4.0): Esukhia
ny+ri,ཉྲི,nyi khri,ཉི་ཁྲི,rKTs (CC BY 4.0): Esukhia
nyiduDa,ཉིདུཌ་,nyi gdugs,ཉི་གདུགས་,rKTs (CC BY 4.0): Esukhia
nyi+ur,ཉིུར,nyi gur,ཉི་གུར,rKTs (CC BY 4.0): Esukhia
ny+chi,ཉྖི,nyi cha,ཉི་ཆ,rKTs (CC BY 4.0): Esukhia
ny+chid,ཉྖིད,nyi chad,ཉི་ཆད,rKTs (CC BY 4.0): Esukhia
nyikyil,ཉིཀྱིལ,nyi dkyil,ཉི་དཀྱིལ,rKTs (CC BY 4.0): Esukhia
nyiga',ཉིགའ,nyi dga',ཉི་དགའ,rKTs (CC BY 4.0): Esukhia
ny+rido,ཉྲིདོ,nyi drod,ཉི་དྲོད,rKTs (CC BY 4.0): Esukhia
nyi+os,ཉིོས,nyi dros,ཉི་དྲོས,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+riso,ཉྲིསོ,nyi dros,ཉི་དྲོས,rKTs (CC BY 4.0)
nyi+ub,ཉིུབ,nyi nub,ཉི་ནུབ,rKTs (CC BY 4.0): Esukhia
nyu+ib,ཉིུབ,nyi nub,ཉི་ནུབ,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+yide,ཉྱིདེ,nyi phyed,ཉི་ཕྱེད,rKTs (CC BY 4.0): Esukhia
nyirnyan,ཉིརྙན,nyi brnyan,ཉི་བརྙན,rKTs (CC BY 4.0): Esukhia
nyisros,ཉིསྲོས,nyi bsros,ཉི་བསྲོས,rKTs (CC BY 4.0): Esukhia
nyi+ul+re,ཉིུལྲེ,nyi bul bsre,ཉི་བུལ་བསྲེ,rKTs (CC BY 4.0): Esukhia
nyin mtshan,ཉིན་མཚན,nyi ma dang mtshan mo,ཉི་མ་དང་མཚན་མོ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
ny+miphul,ཉྨིཕུལ,nyi ma 'phul,ཉི་མ་འཕུལ,rKTs (CC BY 4.0): Esukhia
ny+mishar,ཉྨིཤར,nyi ma shar,ཉི་མ་ཤར,rKTs (CC BY 4.0): Esukhia
nyiM,ཉིཾ,nyi ma,ཉི་མ,rKTs (CC BY 4.0): Dzongkha abbreviations
ny+mi,ཉྨི,nyi  ma,ཉི་མ,rKTs (CC BY 4.0)
nyi+ma,ཉིྨ,nyi ma,ཉི་མ,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
nyidaMngas+yal,ཉིདྃངསྱལ,nyi mdangs gsal,ཉི་མདངས་གསལ,rKTs (CC BY 4.0): Esukhia
ny+mi'ikhorug,ཉྨིའིཁོརུག,nyi ma'i khor yug,ཉི་མའི་ཁོར་ཡུག,rKTs (CC BY 4.0): Esukhia
