Abb. Wylie,Abb. Unicode,Expan. Wylie,Expan. Unicode,Source
kaim,ཀཻམ,kem kem,ཀེམ་ཀེམ,rKTs (CC BY 4.0): Dzongkha abbreviations
k^eng,ཀེ༹ང,ke'u tshang,ཀེའུ་ཚང,rKTs (CC BY 4.0): Dzongkha abbreviations
k+hoM,ཀྷོཾ་,ko lham,ཀོ་ལྷམ་,rKTs (CC BY 4.0): Esukhia
kaung,ཀཽང,kong kong,ཀོང་ཀོང,rKTs (CC BY 4.0): Dzongkha abbreviations
kyago,ཀྱགོ,kyag kyog,ཀྱག་ཀྱོག,rKTs (CC BY 4.0): Dzongkha abbreviations
kyangang,ཀྱངང,kyang yang,ཀྱང་ཡང,rKTs (CC BY 4.0): Esukhia
kyaro,ཀྱརོ,kyar kyor,ཀྱར་ཀྱོར,rKTs (CC BY 4.0): Dzongkha abbreviations
kyalo,ཀྱལོ,kyal kyol,ཀྱལ་ཀྱོལ,rKTs (CC BY 4.0): Dzongkha abbreviations
kyizhi,ཀྱིཞི,kyi gzhi,ཀྱི་གཞི,rKTs (CC BY 4.0): Esukhia
kyilte,ཀྱིལྟེ་,kyi lte,ཀྱི་ལྟེ་,rKTs (CC BY 4.0): Esukhia
kyisazoslag,ཀྱིསཟོསླག,kyis bzos slag,ཀྱིས་བཟོས་སླག,rKTs (CC BY 4.0): Esukhia
kyin+lodig+zang,ཀྱིནློདིགྯང,kyin slod cig bzang,ཀྱིན་སློད་ཅིག་བཟང,rKTs (CC BY 4.0): Esukhia
kyuM,ཀྱུྃ,kyu ma,ཀྱུ་མ,rKTs (CC BY 4.0): Esukhia
kyai,ཀྱཻ,kye kye,ཀྱེ་ཀྱེ,rKTs (CC BY 4.0): Dzongkha abbreviations
klau,ཀླཽ,kla klo,ཀླ་ཀློ,rKTs (CC BY 4.0): Dzongkha abbreviations
klo,ཀློ,kla klo,ཀླ་ཀློ,rKTs (CC BY 4.0): Dzongkha abbreviations
klu+en,ཀླེུན,klu gnyen,ཀླུ་གཉེན,rKTs (CC BY 4.0)
klu+end,ཀླེུནད,klu chen brgyad,ཀླུ་ཆེན་བརྒྱད,rKTs (CC BY 4.0): Dzongkha abbreviations
klu+ebs,ཀླེུབས,klu thebs,ཀླུ་ཐེབས,rKTs (CC BY 4.0)
klud,ཀླུད,klu bdud,ཀླུ་བདུད,rKTs (CC BY 4.0)
klu+og,ཀློུག,klu zlog,ཀླུ་ཟློག,rKTs (CC BY 4.0)
klog,ཀློག,klu zlog,ཀླུ་ཟློག,rKTs (CC BY 4.0): Dzongkha abbreviations
klu sgrubyi,ཀླུ་སྒྲུབྱི,klu sgrub kyi,ཀླུ་སྒྲུབ་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
klu sgrubyis^ada'i,ཀླུ་སྒྲུབྱིས༹དའི,klu sgrub kyis mdzad pa'i,ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པའི,rKTs (CC BY 4.0): Dzongkha abbreviations
klu sgrubyis,ཀླུ་སྒྲུབྱིས,klu sgrub kyis,ཀླུ་སྒྲུབ་ཀྱིས,rKTs (CC BY 4.0): Dzongkha abbreviations
klu'ibong,ཀླུའིབོང,klu'i dbang bo,ཀླུའི་དབང་བོ,rKTs (CC BY 4.0): Esukhia
kh+gangaM,ཁྒངྃ་,kha gang ma,ཁ་གང་མ་,rKTs (CC BY 4.0): Esukhia
khas+yab,ཁསྱབ,kha gsab,ཁ་གསབ,rKTs (CC BY 4.0): Esukhia
khodag,ཁོདག,kha dog,ཁ་དོག,rKTs (CC BY 4.0): Dzongkha abbreviations
kh+dog,ཁྡོག,kha dog,ཁ་དོག,rKTs (CC BY 4.0)
kh+d+rang,ཁྡྲང,kha drang,ཁ་དྲང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khrangs,ཁྲངས,kha drangs,ཁ་དྲངས,rKTs (CC BY 4.0): Dzongkha abbreviations
kha 'chaM gro+ig,ཁ་འཆཾ་གྲོིག,kha 'cham gros 'grig,ཁ་འཆམ་གྲོས་འགྲིག,rKTs (CC BY 4.0): Dzongkha abbreviations
kh+zheng,ཁྮེང,kha zheng,ཁ་ཞེང,rKTs (CC BY 4.0): Esukhia
kh+lagrong,ཁླགྲོང,kha lag sro dang,ཁ་ལག་སྲོ་དང,rKTs (CC BY 4.0): Esukhia
kh+lagrosig,ཁླགྲོསིག,kha lag sros shig,ཁ་ལག་སྲོས་ཤིག,rKTs (CC BY 4.0): Esukhia
kh+so,ཁྶོ,kha so,ཁ་སོ,rKTs (CC BY 4.0): Esukhia
kh+sos,ཁྶོས,kha sos,ཁ་སོས,rKTs (CC BY 4.0): Esukhia
khagi,ཁགི,khag gi,ཁག་གི,rKTs (CC BY 4.0): Dzongkha abbreviations
khaMny+yer,ཁཾཉྱེར,khang gnyer,ཁང་གཉེར,rKTs (CC BY 4.0): Esukhia
khanga'i,ཁངའི་,khang ba'i,ཁང་བའི་,rKTs (CC BY 4.0): Esukhia
khamu,ཁམུ,kham khum,ཁམ་ཁུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
khaM,ཁཾ,kham,ཁམ,rKTs (CC BY 4.0)
khaMsi,ཁཾསི,khams kyi,ཁམས་ཀྱི,rKTs (CC BY 4.0): Dzongkha abbreviations
khaMsuM seMn,ཁཾསུཾ་སེཾན,khams gsum sems can,ཁམས་གསུམ་སེམས་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
khamasuM,ཁམསུཾ,khams gsum,ཁམས་གསུམ,rKTs (CC BY 4.0): Tibetan Shorthand Contractions
khamsum,ཁམསུམ,khams gsum,ཁམས་གསུམ་,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khaMsuM,ཁཾསུཾ,khams gsum,ཁམས་གསུམ,rKTs (CC BY 4.0)
khamuM,ཁམུཾ,khams gsum,ཁམས་གསུམ,rKTs (CC BY 4.0): Dzongkha abbreviations
khamaseng,ཁམསེང༌,khams gseng,ཁམས་གསེང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khamasna,ཁམསྣ,khams na,ཁམས་ན,rKTs (CC BY 4.0): Dzongkha abbreviations
kh^aMn,ཁཾ༹ན,khams tshan,ཁམས་ཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
khaMs+yungan+yas+zer,ཁཾསྱུངནྱསྯེར,khams 'byung gnas zer,ཁམས་འབྱུང་གནས་ཟེར,rKTs (CC BY 4.0): Esukhia
khamasu,ཁམསུ,khams su,ཁམས་སུ,rKTs (CC BY 4.0): Dzongkha abbreviations
khaMsu,ཁཾསུ,khams su,ཁམས་སུ,rKTs (CC BY 4.0)
khaMs,ཁཾས,khams,ཁམས,rKTs (CC BY 4.0)
khare,ཁརེ,khar kher,ཁར་ཁེར,rKTs (CC BY 4.0): Dzongkha abbreviations
khaslen,ཁསླེན,khas len,ཁས་ལེན,rKTs (CC BY 4.0): Esukhia
khu+e,ཁེུ,khu le,ཁུ་ལེ,rKTs (CC BY 4.0): Dzongkha abbreviations
khuganyid,ཁུགཉིད,khug gnyid,ཁུག་གཉིད,rKTs (CC BY 4.0): Esukhia
khurar+yed,ཁུརརྱེད,khur byed,ཁུར་བྱེད,rKTs (CC BY 4.0): Esukhia
kh^u+os,ཁོུ༹ས,khur tshos,ཁུར་ཚོས,rKTs (CC BY 4.0): Dzongkha abbreviations
khu+os^a,ཁོུས༹,khur tshos,ཁུར་ཚོས,rKTs (CC BY 4.0)
khu+en,ཁེུན,khur len,ཁུར་ལེན,rKTs (CC BY 4.0): Dzongkha abbreviations
khe+ol,ཁེོལ,khe khol,ཁེ་ཁོལ,rKTs (CC BY 4.0): Dzongkha abbreviations
khyu+engs,ཁྱེུངས,khengs bskyungs,ཁེངས་བསྐྱུངས,rKTs (CC BY 4.0): Dzongkha abbreviations
khebaste,ཁེབསྟེ,khebs te,ཁེབས་ཏེ,rKTs (CC BY 4.0): Dzongkha abbreviations
khere,ཁེརེ,kher re,ཁེར་རེ,rKTs (CC BY 4.0): Dzongkha abbreviations
khau,ཁཽ,kho bo,ཁོ་བོ,rKTs (CC BY 4.0): Dzongkha abbreviations
kh+bo,ཁྦོ་,kho bo,ཁོ་བོ་,rKTs (CC BY 4.0): Esukhia
khog+r+ten,ཁོགྲྟེན,khog rten,ཁོག་རྟེན,rKTs (CC BY 4.0): Esukhia
khog+s+tong,ཁོགྶྟོང,khog stong,ཁོག་སྟོང,rKTs (CC BY 4.0): Esukhia
khongoM,ཁོངོྃ,khong seng ma,ཁོང་སེང་མ,rKTs (CC BY 4.0): Esukhia
kh^oni,ཁོ༹ནི,khon 'dzin,ཁོན་འཛིན,rKTs (CC BY 4.0): Dzongkha abbreviations
khoM,ཁོཾ,khom,ཁོམ,rKTs (CC BY 4.0): Dzongkha abbreviations
khorug,ཁོརུག,khor yug,ཁོར་ཡུག,rKTs (CC BY 4.0): Dzongkha abbreviations
kholo,ཁོལོ,khol po,ཁོལ་པོ,rKTs (CC BY 4.0): Dzongkha abbreviations
kholu,ཁོལུ,khol bu,ཁོལ་བུ,rKTs (CC BY 4.0): Dzongkha abbreviations
kholoM,ཁོལོཾ,khol mo,ཁོལ་མོ,rKTs (CC BY 4.0): Dzongkha abbreviations
kholud,ཁོལུད,khol lud,ཁོལ་ལུད,rKTs (CC BY 4.0): Dzongkha abbreviations
khogasurnode,ཁོགསུརྣོདེ,khor gsur snod de,ཁོར་གསུར་སྣོད་དེ,rKTs (CC BY 4.0): Esukhia
khor+Yug,ཁོརྻུག,khor yug,ཁོར་ཡུག,rKTs (CC BY 4.0): Esukhia
khyadaraMng,ཁྱདརཾང,khyad par mang,ཁྱད་པར་མང,rKTs (CC BY 4.0): Esukhia
khyadar,ཁྱདར,khyad par,ཁྱད་པར,rKTs (CC BY 4.0)
khyabadal,ཁྱབདལ,khyab gdal,ཁྱབ་གདལ,rKTs (CC BY 4.0): Dzongkha abbreviations
khyabar,ཁྱབར,khyab par,ཁྱབ་པར,rKTs (CC BY 4.0): Dzongkha abbreviations
khyabadag,ཁྱབདག,khyab bdag,ཁྱབ་བདག,rKTs (CC BY 4.0)
khyabadagisung,ཁྱབདགིསུང༌,khyab bdag gis gsung,ཁྱབ་བདག་གིས་གསུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khyabadagisungaso,ཁྱབདགིསུངསོ,khyab bdag gis gsungs so,ཁྱབ་བདག་གིས་གསུངས་སོ,rKTs (CC BY 4.0): Dzongkha abbreviations
khyabardal,ཁྱབརྡལ,khyab brdal,ཁྱབ་བརྡལ,rKTs (CC BY 4.0): Dzongkha abbreviations
khyabyed,ཁྱབྱེད,khyab byed,ཁྱབ་བྱེད,rKTs (CC BY 4.0): Dzongkha abbreviations
khyiM bdagis,ཁྱིཾ་བདགིས,khyim bdag gis,ཁྱིམ་བདག་གིས,rKTs (CC BY 4.0): Dzongkha abbreviations
khyimatshes,ཁྱིམཚེས,khyim mtshes,ཁྱིམ་མཚེས,rKTs (CC BY 4.0): Dzongkha abbreviations
khyiM,ཁྱིཾ,khyim,ཁྱིམ,rKTs (CC BY 4.0)
khyili,ཁྱིལི,khyil khyil,ཁྱིལ་ཁྱིལ,rKTs (CC BY 4.0): Dzongkha abbreviations
khyu+og,ཁྱོུག,khyu mchog,ཁྱུ་མཆོག,rKTs (CC BY 4.0)
khyugon,ཁྱུགོན,khyu mchog can,ཁྱུ་མཆོག་ཅན,rKTs (CC BY 4.0): Dzongkha abbreviations
khyug^on,ཁྱུགོ༹ན,khyu mchog mtshan,ཁྱུ་མཆོག་མཚན,rKTs (CC BY 4.0): Dzongkha abbreviations
khyu+engan,ཁྱེུངན,khyung chen,ཁྱུང་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
khyu+engn,ཁྱེུངན,khyung chen,ཁྱུང་ཆེན,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khyedag,ཁྱེདག,khyed cag,ཁྱེད་ཅག,rKTs (CC BY 4.0): Dzongkha abbreviations
khyedang,ཁྱེདང༌,khyed rang,ཁྱེད་རང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khyo shug,ཁྱོ་ཤུག,khyo dang chung ma,ཁྱོ་དང་ཆུང་མ,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khyugo,ཁྱུགོ,khyo shug,ཁྱོ་ཤུག,rKTs (CC BY 4.0): Dzongkha abbreviations
khyodang,ཁྱོདང༌,khyod rang,ཁྱོད་རང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khyonungasoM,ཁྱོནུངསོྃ་,khyon mtshugs pI,ཁྱོན་མཚུགས་པཱི་,rKTs (CC BY 4.0): Esukhia
khro,ཁྲོ་,khra bo,ཁྲ་བོ་,rKTs (CC BY 4.0): Esukhia
khrogyaMrtse'ang,ཁྲོགྱྃརྩེའང,khra bo grum rtse'ang,ཁྲ་བོ་གྲུམ་རྩེའང,rKTs (CC BY 4.0): Esukhia
khrago,ཁྲགོ,khrag khrog,ཁྲག་ཁྲོག,rKTs (CC BY 4.0): Dzongkha abbreviations
khragis,ཁྲགིས,khrag gis,ཁྲག་གིས,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
khragung,ཁྲགུང༌,khrag 'thung,ཁྲག་འཐུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khruMg,ཁྲུཾག,khrag 'thung,ཁྲག་འཐུང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
khrugang,ཁྲུགང,khrag 'thung,ཁྲག་འཐུང,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khrab+can,ཁྲབྕན,khrab can,ཁྲབ་ཅན,rKTs (CC BY 4.0): Esukhia
khraM,ཁྲྃ,khram,ཁྲམ,rKTs (CC BY 4.0)
khroMg,ཁྲོཾག,khram thog,ཁྲམ་ཐོག,rKTs (CC BY 4.0): Dzongkha abbreviations
khromg,ཁྲོམག,khram thog,ཁྲམ་ཐོག,rKTs (CC BY 4.0): Bacot écriture cursive Tibétaine
khri2,ཁྲི༢,khri gnyis,ཁྲི་གཉིས,rKTs (CC BY 4.0): Esukhia
khrine,ཁྲིནེ,khri chen,ཁྲི་ཆེན,rKTs (CC BY 4.0): Dzongkha abbreviations
khritsan,ཁྲིཙན,khri btsan,ཁྲི་བཙན,rKTs (CC BY 4.0): Esukhia
khrizher,ཁྲིཞེར,khri bzher,ཁྲི་བཞེར,rKTs (CC BY 4.0): Esukhia
khrizang,ཁྲིཟང,khri bzang,ཁྲི་བཟང,rKTs (CC BY 4.0): Esukhia
khringo,ཁྲིངོ༌,khri srong,ཁྲི་སྲོང༌,rKTs (CC BY 4.0): Dzongkha abbreviations
kh+r+rig,ཁྲྲིག,khrig khrig,ཁྲིག་ཁྲིག,rKTs (CC BY 4.0): Dzongkha abbreviations
khridang,ཁྲིདང,khrid dang,ཁྲིད་དང,rKTs (CC BY 4.0): Nima Hojer Lama The Genealogy of Ya-ngal Family of Dolpo
