acip_input_code,gmr_reading,occurrences,courses,differs_from_plain_strip
hai,hai,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
di#pta,dipta,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
locana,lochana,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
maha#t%t%at%t%a,mahattatta,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
ha#sa,hasa,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
nadini,nadini,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
di#ptaya,diptaya,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
ja:,ja,10,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
idam,idam,10,TCS04Mantras TCS04PrayerBook,no
balim%,balim,10,TCS04Mantras TCS04PrayerBook,no
ta,ta,10,TCS04Mantras TCS04PrayerBook,no
vighna#n,vighnan,10,TCS12 TCS16KaliWang,no
mama,mama,10,TCS16KaliWang,no
a#yur,ayur,10,TCS16KaliWang,no
ha,ha,9,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
pu#ja,puja,9,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
pan~ca#mr%ta,pancha-amirta,9,TCS16KaliWang,yes
maha#rakta,maharakta,9,TCS16KaliWang,no
a#gaccha,agacha,8,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
ka#ya,kaya,8,TCS16KaliWang,no
ho:,hoh,7,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
abhis%ekata,abhishekata,7,TCS04Initiation TCS07 TCS08PabongkaSadhana,yes
pan~ca,pancha,7,TCS07 TCS16KaliWang,yes
traidha#tu,traidhatu,7,TCS16KaliWang,no
nr%,nir,7,TCS16KaliWang,yes
vasu,vasu,7,TCS16KaliWang,no
vas*am%,vasham,7,TCS16KaliWang,yes
bho,bho,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
asmad,asmad,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
pratigr%hn%antu,pratigirhnantu,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
prasa#da,prasada,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
me,me,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
dhi#ma#n,dhiman,6,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
ho,ho,6,TCS04Initiation TCS04Mantras TCS07,no
tvam%,tvam,6,TCS04Initiation TCS07 TCS08PabongkaSadhana,no
s*ri#ye,shriye,6,TCS04Initiation TCS07 TCS08PabongkaSadhana,yes
pa#dyam,padyam,6,TCS04Mantras TCS04PrayerBook TCS16KaliWang,no
ratna,ratna,6,TCS07 TCS08PabongkaSadhana,no
namo,namo,6,TCS07 TCS08PabongkaSadhana,no
gan%acakra,ganachakra,6,TCS07,yes
pun%ye,punye,6,TCS16KaliWang,no
citta,chitta,6,TCS16KaliWang,yes
s*uddhoham,shuddhohang,5,TCS04Initiation,yes
s*u#n~ata#,shunyata,5,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
jn~a#na,jnyana,5,TCS04Initiation TCS04Mantras TCS04PrayerBook,yes
idam%,idam,5,TCS07 TCS08PabongkaSadhana,no
man%d%alakam%,mandalakam,5,TCS07 TCS08PabongkaSadhana,no
nirya#taya#mi,niryatayami,5,TCS07 TCS08PabongkaSadhana,no
roga,roga,5,TCS16KaliWang,no
jn~a#na,jnana,5,TCS16KaliWang,yes
s*atrum%,shatrum,5,TCS16KaliWang,yes
ma#raya,maraya,5,TCS16KaliWang,no
tapte,tapte,4,TCS04Initiation TCS12,no
padma,padma,4,TCS04Initiation TCS04Mantras TCS04PrayerBook,no
